date,tin
YYYY-MM-DD,ppb
2015-06-02,0.0
2015-06-18,0.0
2015-07-15,0.0
2015-08-02,0.0
2015-11-04,0.0
2015-11-23,0.0
2015-11-28,0.0
2016-05-27,0.0
2016-06-04,0.0
2016-06-08,0.0
2016-06-11,0.0504632024
2016-06-17,0.05633
2016-07-08,0.11568
2016-07-14,0.0
2016-07-16,0.00844
2016-07-22,0.0
2016-07-29,0.0
2016-08-11,0.0
2016-08-19,0.02173
2016-08-26,0.22505
2016-09-02,0.024710000000000003
2016-09-16,0.00791
2016-10-12,0.02255
2016-10-19,0.012440000000000001
2016-10-27,0.0
2016-11-03,0.0
2016-11-12,0.0
2016-12-04,0.0
2017-03-27,0.0218
2017-06-23,0.05505
2017-06-30,0.0
2017-07-13,0.0
2017-07-14,0.0
2017-07-17,0.03674
2017-07-30,0.0
2017-08-11,0.05447
2017-08-25,0.0
2017-08-31,0.033
2017-09-18,0.0
2017-09-27,0.0
2017-10-14,0.0
2017-10-19,0.0
2017-10-23,0.0
2017-10-24,0.0
2017-11-03,0.0
2017-11-14,0.0
2017-11-16,0.0
2017-12-19,0.0
2018-01-06,0.0
2018-01-25,0.0
2018-01-29,0.0
2018-03-03,0.04028
2018-03-04,0.01877
2018-03-13,0.047999999999999994
2018-03-17,0.02199
2018-05-07,0.01678
2018-05-25,0.01216
2018-06-03,0.0
2018-06-08,0.0
2018-06-15,0.0
2018-06-25,0.0
2018-07-09,0.0
2018-08-10,0.0016899999999999999
2018-08-17,0.0
2018-08-24,0.0
2018-08-25,0.99563
2018-08-31,0.023969999999999998
2018-09-07,0.0
2018-09-14,0.0
2018-09-21,0.0
2018-10-11,0.0213
2018-10-12,0.0
2018-10-18,0.0
2018-10-25,0.0
2018-11-02,0.0
2018-11-10,0.0
2018-11-16,0.006319999999999999
2018-11-17,0.0
2019-07-27,0.01052
2019-08-13,0.0
