date,antimony
YYYY-MM-DD,ppb
2019-04-27,0.09533
2019-05-11,0.10894
2019-05-19,0.04509
2019-05-24,0.06825
2019-06-03,0.0
2019-06-18,0.06779
2019-07-01,0.0
2019-07-09,0.08147
2019-07-16,0.06025
2019-08-13,0.10926999999999999
2019-09-05,0.0
2019-10-02,0.05476
2020-05-13,0.0
2020-05-28,0.0
2020-06-10,0.22928
2020-06-24,0.045630000000000004
2020-07-08,0.14911000000000002
2020-08-03,0.02909
2020-08-26,0.0
2020-09-29,0.0
2020-11-03,0.0
2021-05-10,0.0
2021-05-24,0.30716
2021-06-17,0.0704312
2021-06-30,0.0365532
2021-07-22,0.022787800000000004
2021-08-20,0.0327575
2021-09-30,0.0376685
