date,magnesium
YYYY-MM-DD,ppb
2016-10-16,381.32317
2016-10-19,392.35181
2016-10-27,386.68802
2016-11-03,367.8562
2016-11-12,386.60877999999997
2016-11-23,431.49949
2017-08-04,503.27694
2017-08-25,567.30635
2017-09-27,543.40584
2017-10-05,531.96565
2017-10-12,830.46648
2017-10-24,535.21316
2017-11-03,533.35261
2017-11-15,525.91666
2018-05-25,1535.41498
2018-06-09,22773.71989
2018-06-15,1350.46419
2018-06-25,469.68127000000004
2018-07-16,469.54484
2018-08-10,461.95961
2018-08-17,457.24715000000003
2018-08-24,479.42543
2019-06-23,3367.9598499999997
2019-06-27,2590.4421899999998
2019-07-05,2050.8677399999997
2019-07-14,480.05876
2019-07-19,470.56266
2019-07-26,479.05276000000003
2019-08-02,447.25953
2019-08-09,453.26844
2019-08-16,457.3238
2019-08-23,828.62007
2019-08-30,470.10632999999996
2019-09-06,460.19618
2019-09-13,484.04112
2019-09-20,514.51701
2019-09-27,505.28418
2019-10-04,453.86774
2019-10-11,488.01636
2019-10-19,506.31751
2020-03-01,466.09952
2020-04-01,526.91013
2020-04-28,2971.31848
2020-05-22,3064.67042
2020-05-29,2443.76144
2020-06-05,3063.4650199999996
2020-06-12,7762.830800000001
2020-06-19,2222.15657
2020-06-26,986.8791899999999
2020-07-02,499.21067
2020-07-10,531.66004
2020-07-17,482.52835
2020-07-23,523.2328
2020-07-30,423.15617000000003
2020-08-07,456.36375
2020-08-14,483.6946
2020-08-20,483.50247
2020-08-27,458.33909
2020-09-03,498.65879
2020-09-11,446.21754000000004
2020-09-18,449.12856
2020-09-24,479.90118
2020-10-01,509.60948
2020-10-08,512.61916
2020-10-16,476.77613
2020-10-23,493.79938000000004
2020-11-06,453.31691
2021-01-21,473.10557000000006
2021-02-17,477.25042
2021-03-10,474.50746000000004
2021-04-14,2776.787
2021-05-19,7101.916
2021-05-28,7562.199
2021-06-04,8627.435
2021-06-11,2755.8259
2021-06-18,2671.09372
2021-06-24,1432.6118099999999
2021-07-02,790.89024
2021-07-09,435.63187999999997
2021-07-15,433.82407
2021-07-23,460.77754
2021-07-30,445.27099
2021-08-06,448.42394
2021-08-13,420.6206505
2021-08-19,438.5695995
2021-08-27,446.5194975
2021-09-03,438.8515074
2021-10-01,452.7593832
2021-10-07,838.2965707
2021-10-22,531.5604166
2021-11-03,506.1672739
2021-11-11,487.29453229999996
2021-12-20,573.0736251999999
