date,potassium
YYYY-MM-DD,ppb
2016-08-05,487.82474
2016-08-12,538.57712
2016-08-19,476.52942
2016-08-26,198.78497
2016-09-02,228.84684
2016-09-09,214.49398
2016-09-16,206.56832000000003
2016-10-01,214.66334
2016-10-12,176.2155
2016-10-19,197.53909
2016-10-27,168.33269
2016-11-03,178.19509
2016-11-12,165.42224000000002
2017-06-16,470.40329999999994
2017-08-04,254.20475
2017-08-25,241.77254000000002
2017-09-27,247.89665
2017-10-05,237.61984
2017-10-12,333.43415
2017-10-13,275.04613
2017-10-24,240.75591
2017-11-03,226.34715
2017-11-15,250.44375
2018-05-25,188.43009999999998
2018-06-09,189.89677
2018-06-15,187.22342
2018-06-25,191.25348
2018-07-11,188.55619000000002
2018-07-16,187.95873
2018-08-24,268.83199
2018-08-27,315.39234
2019-06-23,692.44378
2019-06-27,610.75072
2019-07-05,662.50178
2019-07-14,320.4392
2019-07-19,469.38077999999996
2019-07-26,565.0618999999999
2019-08-02,1011.49073
2019-08-09,975.73916
2019-08-16,345.60555
2019-08-23,258.82347
2019-08-30,987.37533
2019-09-06,203.99429999999998
2019-09-20,191.11630000000002
2019-09-27,809.1069
2019-10-04,1197.59149
2020-03-01,185.11545999999998
2020-04-01,175.74773
2020-04-28,173.20656
2020-05-22,153.844
2020-05-29,159.18802
2020-06-08,482.2877
2020-06-12,254.78387999999998
2020-06-19,118.14291
2020-06-26,174.60747
2020-07-02,205.64221
2020-07-10,159.22788
2020-07-17,273.85197999999997
2020-07-23,196.53429
2020-07-30,176.08337
2020-08-07,161.87534
2020-08-14,170.0442
2020-08-20,172.69857
2020-08-27,222.21217
2020-09-03,175.25707
2020-09-11,166.10172
2020-09-18,178.36123
2020-09-24,344.46719
2020-10-01,209.90059
2020-10-08,180.26060999999999
2020-10-16,184.81604000000002
2020-10-23,189.84214000000003
2020-11-06,178.89804999999998
2021-01-21,176.73278
2021-02-17,178.63858
2021-03-10,237.68764000000002
2021-04-14,226.24691
2021-05-19,203.55111
2021-05-28,239.23333
2021-06-04,209.51129
2021-06-11,222.64391
2021-06-24,190.42662
2021-07-09,172.23584
2021-07-15,4246.28786
2021-07-23,219.51202999999998
2021-07-30,228.16629
2021-08-06,187.00081
2021-08-13,174.3134279
2021-08-19,203.6254413
2021-08-27,150.6789314
2021-09-03,170.3013517
2021-10-01,189.6344908
2021-10-07,196.7274614
2021-10-22,268.4891386
2021-11-03,226.7253751
2021-11-11,273.1545053
2021-12-20,195.1950557
