date,zirconium
YYYY-MM-DD,ppb
2017-03-17,5.72975
2017-03-23,0.28636
2017-05-03,0.10568
2017-05-06,0.24514000000000002
2017-05-11,0.24045
2017-05-15,0.23118
2017-06-22,0.19863999999999998
2017-10-29,0.22736
2019-04-06,0.07302
2019-04-06,0.07389
2020-07-14,0.20851000000000003
2020-07-21,0.23926
2020-07-29,0.22820000000000001
2020-08-04,0.22693999999999998
2020-08-12,0.37863
2020-08-19,0.45952
2020-08-24,0.33527
2020-09-01,0.33377999999999997
2020-09-14,0.31959000000000004
2020-09-23,0.32928999999999997
2020-09-29,0.3184
2020-10-05,0.32366
2020-10-13,0.30803
2020-10-22,0.3242
2020-10-28,0.30720000000000003
2020-11-03,0.31701
2020-11-19,0.2824
2021-04-28,0.21805999999999998
2021-05-04,0.22304999999999997
2021-05-13,0.18313
2021-05-18,0.19391999999999998
2021-05-27,0.21302000000000001
2021-06-02,0.19454
2021-06-08,0.08187
2021-06-15,0.07763
2021-06-22,0.044149999999999995
2021-07-01,0.02692
2021-07-07,0.055310000000000005
2021-07-16,0.0272001
2021-07-20,0.0375147
2021-07-27,0.0350556
2021-08-04,0.018418200000000003
2021-08-10,0.0121817
2021-08-17,0.0122582
2021-08-24,0.010825
2021-08-31,0.0247488
2021-09-08,0.0238245
2021-09-27,0.0287214
2021-10-04,0.0069995
2021-10-15,0.0091576
