date,copper
YYYY-MM-DD,ppb
2020-05-21,1.3498299999999999
2020-05-27,0.7116
2020-06-03,0.07246
2020-06-09,0.0
2020-06-17,5.7373899999999995
2020-06-25,0.0
2020-06-30,0.2072
2020-07-07,0.43402999999999997
2020-07-14,0.20001999999999998
2020-07-22,0.66279
2020-07-27,0.45456
2020-08-02,0.55011
2020-08-10,0.44247000000000003
2020-08-18,6.0991
2020-08-24,1.88579
2020-08-31,2.0125699999999997
2020-09-15,1.47668
2020-09-22,1.49748
2020-09-28,2.61701
2020-10-08,2.48138
2020-10-14,1.10736
2020-10-22,4.50012
2020-11-11,0.74935
2020-12-08,1.61395
2020-12-29,1.10093
2021-01-29,16.73508
2021-02-09,11.118300000000001
2021-03-10,17.62592
2021-04-16,5.94496
2021-04-29,3.11637
2021-05-12,2.16313
2021-05-20,2.89961
2021-05-26,3.4312500000000004
2021-06-01,1.8399299999999998
2021-06-08,3.76154
2021-06-14,1.92441
2021-06-21,0.44314
2021-06-29,1.14109
2021-07-08,38.87544
2021-07-21,1.11823
2021-08-05,0.0
2021-08-11,0.0
2021-08-18,0.0
2021-08-26,0.0
2021-08-30,0.0
2021-09-12,0.0
2021-10-06,0.0
2021-10-13,1.0771345
2021-11-05,1.6026856999999999
2021-11-12,2.0596313
2021-12-16,3.9784689
