date,silver
YYYY-MM-DD,ppb
2016-08-05,0.00503
2016-08-12,0.03742
2016-08-19,0.053899999999999997
2016-08-26,0.02016
2016-09-02,0.00393
2016-09-09,0.00687
2016-09-16,0.05377
2016-10-01,0.0
2016-10-12,0.00161
2016-10-19,0.01003
2016-10-27,0.00012
2016-11-03,0.006359999999999999
2016-11-12,0.00351
2017-06-16,0.03426
2017-08-04,0.0
2017-08-25,0.03257
2017-09-27,0.0
2017-10-05,0.02497
2017-10-12,0.11044
2017-10-13,0.10883000000000001
2017-10-24,0.39617
2017-11-03,0.10963
2017-11-15,0.0
2018-05-25,0.0
2018-06-09,0.0
2018-06-15,0.0
2018-06-25,0.0
2018-07-11,0.0
2018-07-16,0.0
2018-08-24,0.0
2018-08-27,0.0
2019-06-23,1.37312
2019-06-27,1.72087
2019-07-05,1.73396
2019-07-14,1.72528
2019-07-19,1.7124800000000002
2019-07-26,1.71665
2019-08-02,1.7168800000000002
2019-08-09,2.99334
2019-08-16,2.9813099999999997
2019-08-23,3.0331099999999998
2019-08-30,3.00999
2019-09-06,2.9923100000000002
2019-09-20,2.97633
2019-09-27,2.97158
2019-10-04,2.9675000000000002
2020-03-01,1.0187599999999999
2020-04-01,1.02826
2020-04-28,1.01882
2020-05-22,1.00623
2020-05-29,0.9968699999999999
2020-06-08,1.30789
2020-06-12,1.05776
2020-06-19,1.00864
2020-06-26,1.01452
2020-07-02,1.0022499999999999
2020-07-10,1.00434
2020-07-17,5.0146500000000005
2020-07-23,1.00426
2020-07-30,1.02836
2020-08-07,0.9973
2020-08-14,1.00204
2020-08-20,1.00417
2020-08-27,1.00872
2020-09-03,1.0276399999999999
2020-09-11,0.9968699999999999
2020-09-18,0.9848800000000001
2020-09-24,1.0117
2020-10-01,1.00907
2020-10-08,0.9960199999999999
2020-10-16,1.0038900000000002
2020-10-23,0.99884
2020-11-06,1.00587
2021-01-21,1.0178800000000001
2021-02-17,1.05396
2021-03-10,1.08676
2021-04-14,0.0
2021-05-19,0.0
2021-05-28,0.0
2021-06-04,0.0
2021-06-11,0.18915
2021-06-24,0.21963
2021-07-09,0.18325000000000002
2021-07-15,0.20531
2021-07-23,0.22381
2021-07-30,0.22977999999999998
2021-08-06,0.23543000000000003
2021-08-13,0.029772399999999997
2021-08-19,0.0099746
2021-08-27,0.0028333
2021-09-03,0.0014786
2021-10-01,0.0258843
2021-10-07,0.137437
2021-10-22,0.0271082
2021-11-03,0.06384909999999999
2021-11-11,0.0640956
2021-12-20,0.0128478
