date,phosphorus
YYYY-MM-DD,ppb
2017-02-08,21.46472
2017-02-28,14.067540000000001
2017-03-01,197.08601000000002
2017-03-24,20.88889
2017-03-26,29.039160000000003
2018-02-28,94.72242
2018-03-02,92.44452000000001
2018-03-05,30.418300000000002
2018-03-15,126.50137000000001
2018-03-16,14.38452
2018-03-19,30.65923
2018-03-23,19.05541
2018-03-24,22.93365
2018-04-06,53.56546
2018-04-07,20.291150000000002
2018-04-08,15.79639
2018-04-09,25.457
2018-04-21,31.41574
2018-05-03,61.05625
2018-06-17,41.96827
2018-06-18,23.68496
2018-07-08,229.78280999999998
2018-07-09,53.490320000000004
2018-07-11,142.95494
2019-06-19,110.38510000000001
2019-07-01,551.55256
2019-07-26,226.1059
2019-07-27,787.86349
2019-07-28,82.04743
2019-07-31,73.73056
2019-08-05,188.80378000000002
2020-02-05,15.878429999999998
