date,cadmium
YYYY-MM-DD,ppb
2014-12-07,0.08501
2015-01-24,0.02201
2015-02-07,0.024640000000000002
2015-03-16,0.03451
2015-04-19,0.01913
2015-05-11,0.019289999999999998
2015-05-24,0.014940000000000002
2015-06-02,0.01518
2015-06-18,0.02267
2015-07-02,0.01849
2015-07-15,0.033999999999999996
2015-08-02,0.0361
2015-08-09,0.01371
2015-10-04,0.03572
2015-10-13,0.03234
2015-10-26,0.02531
2015-11-09,0.00227
2015-11-23,0.00762
2015-12-09,0.01591
2015-12-30,0.01835
2016-01-08,0.014870000000000001
2016-01-18,0.01658
2016-01-28,0.02209
2016-02-12,0.01625
2016-02-21,0.015430000000000001
2016-03-09,0.015969999999999998
2016-03-24,0.0057
2016-03-31,0.01143
2016-04-08,0.046329999999999996
2016-04-21,0.02775
2016-05-02,0.016947210999999997
2016-05-12,0.0125559324
2016-05-20,0.0296219707
2016-05-27,0.0
2016-06-04,0.0433529495
2016-06-11,0.0288566014
2016-06-17,0.04757
2016-06-27,0.029759999999999998
2016-07-08,0.03689
2016-07-15,0.03387
2016-07-22,0.035590000000000004
2016-07-29,0.00134
2016-08-05,0.0
2016-08-12,0.0163
2016-08-19,0.015790000000000002
2016-08-26,0.040429999999999994
2016-09-02,0.01806
2016-09-09,0.01934
2016-09-16,0.0238
2016-09-23,0.020479999999999998
2016-09-30,0.02363
2016-10-12,0.02156
2016-10-19,0.01718
2016-10-27,0.019719999999999998
2016-11-03,0.03837
2016-11-12,0.02549
2016-11-23,0.00528
2016-12-04,0.01218
2017-04-12,0.00673
2017-04-30,0.026510000000000002
2017-05-14,0.01952
2017-05-30,0.05162
2017-06-15,0.020319999999999998
2017-06-30,0.03198
2017-07-30,0.022369999999999998
2017-08-25,0.026860000000000002
2017-09-14,0.01327
2017-09-27,0.01281
2017-10-14,0.02756
2017-10-23,0.01806
2017-11-16,0.01521
2018-03-03,0.01746
2018-05-07,0.00037
2018-05-25,0.00243
2018-06-08,0.010740000000000001
2018-06-15,0.0098
2018-06-25,0.0
2018-07-09,0.00498
2018-07-15,0.02246
2018-08-10,0.016479999999999998
2018-08-17,0.01772
2018-08-24,0.010629999999999999
2018-09-07,0.01414
2018-09-14,0.01685
2018-09-21,0.013389999999999999
2018-09-28,0.01964
