date,lead
YYYY-MM-DD,ppb
2019-04-27,0.016999999999999998
2019-05-10,0.0
2019-05-19,0.02223
2019-05-24,0.018430000000000002
2019-06-03,0.030260000000000002
2019-06-18,0.019090000000000003
2019-07-01,0.02111
2019-07-09,0.03705
2019-07-16,0.0387
2019-08-15,0.0243
2019-09-05,0.04596
2019-10-02,0.038279999999999995
2020-04-21,0.0
2020-05-13,0.01012
2020-05-28,0.04333
2020-06-10,0.052110000000000004
2020-06-24,0.04537
2020-07-08,0.00993
2020-08-04,0.14121999999999998
2020-08-26,0.0
2020-09-29,0.0
2020-11-03,0.00643
2021-05-10,0.26252000000000003
2021-05-24,0.0047
2021-06-17,0.32178070000000003
2021-06-30,0.5519589
2021-07-22,0.1525281
2021-08-20,0.0552142
2021-09-30,0.06648180000000001
