date,strontium
YYYY-MM-DD,ppb
2014-12-12,173.35759
2015-05-11,121.2209
2015-05-24,122.61473000000001
2015-06-02,82.1365
2015-06-18,75.4442
2015-07-02,94.88737
2015-07-15,109.87472
2015-08-02,125.86129
2015-08-09,134.09419
2015-10-04,155.12648000000002
2015-10-13,166.94586999999999
2015-10-26,137.32094999999998
2015-11-09,142.43456
2016-05-12,135.8536586784
2016-05-20,111.1234750928
2016-05-27,94.28573169050001
2016-06-04,71.0929049652
2016-06-11,64.8514502243
2016-06-17,84.7779
2016-06-27,102.24775
2016-07-08,119.27992
2016-07-15,126.18902
2016-07-22,139.93704
2016-07-29,167.21211
2016-08-05,139.33222
2016-08-12,172.04745
2016-08-19,189.86881
2016-08-26,156.48365
2016-09-02,158.50531999999998
2016-09-09,165.61457000000001
2016-09-16,161.44283000000001
2016-09-23,155.77186
2016-09-30,168.73998
2016-10-12,126.35398
2016-10-19,144.41168
2016-10-27,148.82944
2016-11-03,150.35408
2016-11-12,159.05089999999998
2017-05-30,97.72751
2017-06-15,81.16826
2017-06-30,76.21024
2017-07-13,92.83431
2017-07-30,109.16691999999999
2017-08-25,158.08776
2017-09-14,220.53598999999997
2017-09-27,198.90338
2017-10-14,144.99022
2017-10-23,150.92916
2017-11-03,163.94535000000002
2018-05-25,79.97262
2018-06-08,92.44344
2018-06-15,102.96709999999999
2018-06-25,116.20441
2018-07-09,158.40709
2018-07-15,164.44089000000002
