date,silicon
YYYY-MM-DD,ppb
2019-04-27,6019.5625
2019-05-10,6385.825569999999
2019-05-19,5846.34732
2019-05-24,5457.1806400000005
2019-06-03,5184.97798
2019-06-18,5258.78052
2019-07-01,5255.814890000001
2019-07-09,5228.68634
2019-07-16,5375.854020000001
2019-08-15,5224.3516199999995
2019-09-05,5614.38269
2019-10-02,5788.230519999999
2020-04-21,5030.4306400000005
2020-05-13,5987.93055
2020-05-28,5620.75965
2020-06-10,5647.13184
2020-06-24,5566.82502
2020-07-08,5286.29314
2020-08-03,5136.85153
2020-08-26,5499.58247
2020-09-29,5562.536179999999
2020-11-03,5637.54768
2021-05-10,5455.67935
2021-05-24,5953.7291700000005
2021-06-17,4670.7762907
2021-06-30,5765.2808155
2021-07-22,5420.582458899999
2021-08-20,5660.9017558000005
2021-09-30,5023.5707586
