date,cadmium
YYYY-MM-DD,ppb
2019-04-27,0.03415
2019-05-11,0.0068000000000000005
2019-05-19,0.01582
2019-05-24,0.041999999999999996
2019-06-03,0.01928
2019-06-18,0.0
2019-07-01,0.03257
2019-07-09,0.00763
2019-07-16,0.0151
2019-09-05,0.02579
2019-10-02,0.02989
2020-05-13,0.06504
2020-05-28,0.0
2020-06-10,0.004889999999999999
2020-06-24,0.0
2020-07-08,0.07483000000000001
2020-08-03,0.0591
2020-08-26,0.00482
2020-09-29,0.0
2020-11-03,0.0
2021-05-10,0.013439999999999999
2021-05-24,0.01354
2021-06-17,0.020068700000000002
2021-06-30,0.0135959
2021-07-22,0.0030842
2021-08-20,0.0022054
2021-09-30,0.0115694
