date,sodium
YYYY-MM-DD,ppb
2020-06-03,12104.61824
2020-06-16,10737.03139
2020-06-30,11086.254100000002
2020-07-14,11251.47899
2020-07-29,11205.827529999999
2020-08-04,11353.53013
2021-04-28,9597.896789999999
2021-05-04,9232.76283
2021-05-13,9752.70578
2021-05-18,9527.32559
2021-06-02,9202.539130000001
2021-06-08,9191.266510000001
2021-06-22,10343.430550000001
2021-07-07,10221.015640000001
2021-07-16,10223.1499937
2021-07-20,10202.0268829
2021-07-27,10592.394157399998
2021-08-04,9875.0529054
2021-08-10,10054.364872999999
2021-08-17,11406.4243527
