date,selenium
YYYY-MM-DD,ppb
2020-05-21,1.75728
2020-05-27,1.5020900000000001
2020-06-03,2.01246
2020-06-09,1.75728
2020-06-17,1.5020900000000001
2020-06-25,2.43777
2020-06-30,1.5020900000000001
2020-07-07,1.84234
2020-07-14,0.78581
2020-07-22,0.77052
2020-07-27,0.73994
2020-08-02,0.64819
2020-08-10,3.17609
2020-08-18,2.73752
2020-08-24,2.42425
2020-08-31,3.55201
