date,phosphorus
YYYY-MM-DD,ppb
2020-05-22,215.86694
2020-05-29,206.13902
2020-06-12,275.41581
2020-06-19,260.12095999999997
2020-06-26,265.38842999999997
2020-07-02,254.78999000000002
2020-07-10,258.09009
2020-07-17,284.80865
2020-07-23,275.98699
2020-07-30,264.69033
2020-08-07,268.49819
2020-08-14,264.11923
2020-08-20,268.24437
2020-08-27,273.89273
2020-09-03,276.24088
2020-09-11,275.86008
2020-09-18,274.20999
2020-09-24,278.39867000000004
2020-10-01,268.24436
2020-10-16,263.42105
2020-10-23,263.80185
2020-11-06,264.7538
2021-01-21,247.36489
2021-02-17,241.18606
2021-03-10,238.03785000000002
2021-04-14,238.9778
2021-05-19,195.7616
2021-05-28,202.6595
2021-06-04,207.7291
2021-06-11,222.21901
2021-06-24,204.96203000000003
2021-07-09,224.62693000000002
2021-07-15,218.74081
2021-07-23,180.91431
2021-07-30,172.73574
2021-08-06,211.02277
2021-08-13,5.7719924
2021-08-27,5.8580082
2021-09-03,0.563069
2021-10-01,7.517564500000001
2021-10-07,5.8842193
2021-10-22,1.3291306
2021-11-03,7.5251152
2021-11-11,14.0109543
