date,copper
YYYY-MM-DD,ppb
2014-12-12,1.10714
2015-01-24,0.77579
2015-02-07,1.4181599999999999
2015-02-19,1.03773
2015-03-16,0.88488
2015-04-19,1.0391
2015-05-11,0.61133
2015-05-24,0.54228
2015-06-02,0.6756
2015-06-18,0.6688099999999999
2015-07-02,0.6288
2015-07-15,0.62639
2015-08-02,0.59863
2015-08-09,0.7502599999999999
2015-10-04,0.39798
2015-10-13,0.44466
2015-10-26,0.49101
2015-11-09,0.46211
2015-11-23,0.49188000000000004
2015-12-09,0.6804100000000001
2015-12-30,1.32282
2016-01-08,0.67862
2016-01-18,0.88216
2016-01-28,0.43062
2016-02-12,0.47223000000000004
2016-02-21,0.73218
2016-03-09,0.42354
2016-03-24,0.43061000000000005
2016-03-31,1.1295199999999999
2016-04-08,0.8455
2016-04-21,0.79459
2016-05-02,3.206437378
2016-05-12,2.0145733425000003
2016-05-20,2.8300126928
2016-05-27,2.106217374
2016-06-04,3.037592151
2016-06-11,2.4081733806
2016-06-17,0.6022700000000001
2016-06-27,0.6755
2016-07-08,0.7540199999999999
2016-07-15,0.77651
2016-07-22,0.27906
2016-07-29,0.40052
2016-08-05,0.4874
2016-08-12,0.37734999999999996
2016-08-19,0.27999
2016-08-26,0.52722
2016-08-27,1.48163
2016-09-02,3.01251
2016-09-09,0.39312
2016-09-16,3.0521599999999998
2016-09-23,2.54278
2016-09-30,0.0495
2016-10-12,1.74732
2016-10-19,0.76539
2016-10-27,0.54301
2016-11-03,0.67075
2016-11-12,1.19553
2016-11-23,0.7215
2016-12-04,0.48605000000000004
2016-12-19,0.70957
2017-03-19,0.61632
2017-04-12,0.78895
2017-04-30,0.45409
2017-05-14,0.6667
2017-05-30,0.32665
2017-06-15,0.38631
2017-06-30,0.3933
2017-07-13,0.44579
2017-07-30,0.7360500000000001
2017-08-25,0.6253
2017-09-14,0.93041
2017-09-27,0.30863999999999997
2017-10-14,0.41779999999999995
2017-10-23,0.5070100000000001
2017-10-29,8.7687
2017-11-03,11.368929999999999
2017-11-16,0.91266
2018-03-04,0.84439
2018-05-25,1.24333
2018-06-08,1.2555800000000001
2018-06-15,1.1838600000000001
2018-06-25,1.04969
2018-07-09,0.78998
2018-07-15,0.7571
2018-08-10,1.3153599999999999
2018-08-17,0.38005
2018-08-24,0.48385999999999996
2018-09-07,1.12853
2018-09-14,0.94045
2018-09-21,1.22377
2018-10-05,1.3383800000000001
2018-10-12,0.85121
2018-10-18,0.8891899999999999
2018-10-25,0.9496499999999999
2018-11-02,0.89143
2018-11-10,1.21165
2018-11-17,0.80876
2019-02-27,0.46860999999999997
2019-03-21,15.18863
2019-03-30,0.75996
2019-04-18,1.30689
2019-05-08,1.20866
2019-06-05,1.9644
2019-06-11,2.07462
2019-06-21,2.1071500000000003
2019-06-27,0.7549
2019-07-05,1.07501
2019-07-14,1.8108
2019-07-19,1.0914899999999998
2019-07-26,1.03623
2019-08-02,4.59864
2019-08-09,1.1190600000000002
2019-08-16,1.7341000000000002
2019-08-23,100.09567000000001
2019-08-30,20.46243
2019-09-06,28.09774
2019-09-13,15.59713
2019-09-20,0.9819899999999999
2019-09-27,1.38822
2019-10-04,1.84884
2019-10-11,1.02782
2019-10-19,0.73121
2019-10-25,0.8167199999999999
2019-11-03,0.7342899999999999
2019-11-08,0.6490799999999999
2019-11-15,0.77193
2019-11-22,0.9594199999999999
2019-12-04,0.6535299999999999
2019-12-12,0.61372
2019-12-20,0.83629
2020-01-08,2.25718
2020-01-21,1.68627
2020-01-28,0.88228
2020-02-11,1.12081
2020-02-20,2.40458
2020-03-11,0.6247400000000001
2020-03-17,1.0512000000000001
2020-04-03,1.1738
2020-04-09,0.8978200000000001
2020-04-14,0.7148100000000001
2020-04-24,1.03316
2020-05-22,1.1515499999999999
2020-05-29,0.7430000000000001
2020-06-05,1.38502
2020-06-12,0.67202
2020-06-19,0.52446
2020-06-26,1.2001199999999999
2020-07-02,0.94652
2020-07-10,1.18736
2020-07-17,9.90655
2020-07-23,0.60411
2020-07-30,1.1926299999999999
2020-08-07,0.8248900000000001
2020-08-14,4.22543
2020-08-20,1.40951
2020-08-27,4.47668
2020-09-03,3.05668
2020-09-11,1.3333400000000002
2020-09-18,2.1060499999999998
2020-09-24,1.69574
2020-10-01,6.12774
2020-10-08,1.07063
2020-10-16,1.13367
2020-10-23,1.4625599999999999
2020-10-27,1.48407
2020-11-06,1.26586
2020-11-13,1.01662
2020-11-20,1.78836
2020-12-04,1.37237
2021-01-08,4.61414
2021-01-15,4.4815700000000005
2021-01-28,11.23491
2021-02-11,12.56696
2021-03-03,13.98232
2021-03-19,13.62689
2021-03-25,8.52328
2021-04-07,7.09591
2021-05-17,1.22153
2021-05-28,1.00693
2021-06-04,1.54732
2021-06-11,1.2447
2021-06-18,1.48918
2021-07-02,2.09887
2021-07-09,1.28747
2021-07-15,2.5385799999999996
2021-07-30,0.7280599999999999
2021-08-06,1.13204
2021-08-13,0.8206305
2021-08-19,0.5725592
2021-08-27,0.5542020000000001
2021-09-03,1.1621133000000001
2021-10-01,0.9564973999999999
2021-10-07,0.8599763
2021-10-22,4.7357796
2021-10-27,0.6041196
2021-11-03,1.1811733
2021-11-11,2.238132
2022-10-15,1.2802590999999999
