date,manganese
YYYY-MM-DD,ppb
2015-03-16,1.68947
2015-04-19,2.6080900000000002
2015-05-02,0.8126899999999999
2015-05-11,0.49889000000000006
2015-05-24,0.26396
2015-06-02,0.34679000000000004
2015-06-18,0.56872
2015-07-02,0.26455
2015-07-15,0.16181
2015-08-02,2.3403099999999997
2015-08-09,2.98351
2015-10-04,0.27472
2015-10-13,0.34697
2015-10-26,0.43167
2015-11-09,0.60159
2015-11-23,0.22221999999999997
2016-04-08,5.37474
2016-04-21,5.169040000000001
2016-05-02,2.7498847268
2016-05-12,4.3933092588
2016-05-20,3.2189667138
2016-05-27,2.5533502665
2016-06-04,2.2468112738999997
2016-06-11,2.3857596588
2016-06-17,3.30884
2016-06-27,2.4371899999999997
2016-07-08,1.78375
2016-07-15,1.8596
2016-07-22,2.76246
2016-07-29,3.2478499999999997
2016-08-05,2.51639
2016-08-12,1.83996
2016-08-19,2.12399
2016-08-26,3.2253100000000003
2016-09-02,2.18226
2016-09-09,2.3563799999999997
2016-09-16,2.5768999999999997
2016-09-23,7.850580000000001
2016-09-30,2.1252199999999997
2016-10-12,1.9489400000000001
2016-10-19,2.96745
