date,calcium
YYYY-MM-DD,ppb
2014-12-07,55957.36563
2015-02-07,66290.46269
2015-02-19,78466.32646
2015-03-16,54216.98299
2015-04-19,46214.55707
2015-05-02,34774.61596
2015-05-11,37910.49521
2015-05-24,38201.92033
2015-06-02,25445.63608
2015-06-18,20722.93061
2015-07-02,24809.36387
2015-07-15,29348.69228
2015-08-02,37866.82987
2015-08-09,39570.70018
2015-10-04,44917.25972
2015-10-13,46120.77551000001
2015-10-26,46661.153080000004
2015-11-09,47263.16882
2015-11-23,48315.58664
2015-12-09,49853.04744
2015-12-30,50971.391110000004
2016-01-08,50826.19359
2016-01-18,51709.48303999999
2016-01-28,52145.94736
2016-02-12,53726.860539999994
2016-02-21,52656.89511
2016-03-09,52854.273180000004
2016-03-24,52415.40236
2016-03-31,51843.33058
2016-04-08,50488.835909999994
2016-04-21,46530.615900000004
2016-05-02,48219.5619125792
2016-05-12,43883.20908707221
2016-05-20,34150.481275033206
2016-05-27,32421.450500049603
2016-06-04,21141.079167183998
2016-06-11,21905.2785189
2016-06-17,20260.76889
2016-06-27,23423.575559999997
2016-07-08,29015.53813
2016-07-15,31204.366759999997
2016-07-22,31955.1512
2016-07-29,36013.15509
2016-08-05,31252.38952
2016-08-12,36501.03615
2016-08-19,42138.158489999994
2016-08-26,38439.5501
2016-08-27,40788.231700000004
2016-09-02,35650.90534
2016-09-09,40760.220479999996
2016-09-16,43310.74694
2016-09-23,42164.96949
2016-09-30,43881.601579999995
2016-10-12,44789.05711
2016-10-19,45864.80014
2016-10-27,43925.08288
2016-11-03,46537.45098
2016-11-12,47358.4695
2016-11-23,47176.66279
2016-12-04,49687.46379
2016-12-19,50760.07174
2017-02-01,53900.63452000001
2017-03-19,49019.56083
2017-04-12,48329.496719999996
2017-04-30,46482.39915
2017-05-11,39493.96109
2017-05-30,27285.02063
2017-06-15,25722.13416
2017-06-24,21895.69126
2017-06-30,25086.36052
2017-07-13,23293.11398
2017-07-30,27501.67912
