date,sodium
YYYY-MM-DD,ppb
2019-04-27,10323.78502
2019-05-11,13379.405480000001
2019-05-19,9493.63024
2019-05-24,9339.08714
2019-06-03,8878.1398
2019-06-18,8777.51504
2019-07-01,8892.235560000001
2019-07-09,8542.71738
2019-07-16,8516.45432
2019-09-05,8965.15528
2019-10-02,8963.39611
2020-05-13,9697.54277
2020-05-28,8881.40029
2020-06-10,8536.6603
2020-06-24,8705.77689
2020-07-08,7984.814740000001
2020-08-03,8456.10578
2020-08-26,8554.31791
2020-09-29,8877.937460000001
2020-11-03,11876.05939
2021-05-10,10394.42971
2021-05-24,9670.92272
2021-06-17,8960.7878683
2021-06-30,8949.1069143
2021-07-22,9216.2347947
2021-08-20,9531.7115163
2021-09-30,9638.3504707
