date,lithium
YYYY-MM-DD,ppb
2017-02-08,0.0
2017-02-28,0.0
2017-03-01,2.32887
2017-03-24,0.0
2017-03-26,0.00771
2018-02-28,0.21999999999999997
2018-03-02,1.57609
2018-03-05,0.0
2018-03-15,1.18271
2018-03-16,0.0
2018-03-19,0.12512
2018-03-23,0.0
2018-03-24,0.0
2018-04-06,0.017570000000000002
2018-04-07,0.0
2018-04-08,0.0
2018-04-09,0.0
2018-04-21,0.0
2018-05-03,0.0
2018-06-17,0.0
2018-06-18,0.0
2018-07-08,0.02949
2018-07-09,0.0
2018-07-11,0.01313
2019-06-19,0.0
2019-07-01,0.37296999999999997
2019-07-26,0.24715
2019-07-27,1.43232
2019-07-28,0.22388000000000002
2019-07-31,0.0
2019-08-05,0.0
2020-02-05,0.0
