date,strontium
YYYY-MM-DD,ppb
2016-10-16,88.88645
2016-10-19,86.78663
2016-10-27,92.02743999999998
2016-11-03,86.79617999999999
2016-11-12,91.49771
2016-11-23,91.32275999999999
2017-08-04,102.79826
2017-08-25,138.57666999999998
2017-09-27,122.35404000000001
2017-10-05,119.49206000000001
2017-10-12,128.45086
2017-10-24,111.22802
2017-11-03,98.87003
2017-11-15,112.95353
2018-05-25,105.01704000000001
2018-06-09,398.77349000000004
2018-06-15,104.30129000000001
2018-06-25,90.32984
2018-07-16,91.74236
2018-08-10,90.37035
2018-08-17,90.63743000000001
2018-08-24,84.62281000000002
2019-06-23,135.80652
2019-06-27,123.85778
2019-07-05,119.63601
2019-07-14,92.55553
2019-07-19,90.31909999999999
2019-07-26,61.802710000000005
2019-08-02,89.63772
2019-08-09,89.54493
2019-08-16,89.51333
2019-08-23,72.50749
2019-08-30,101.62306
2019-09-06,94.07631
2019-09-13,83.25407
2019-09-20,73.98092
2019-09-27,85.95802
2019-10-04,91.17142
2019-10-11,91.39704
2019-10-19,91.99367000000001
2020-03-01,92.41201000000001
2020-04-01,96.69825
2020-04-28,129.94347
2020-05-22,99.14986
2020-05-29,114.17227
2020-06-05,134.73908
2020-06-12,197.71851999999998
2020-06-19,124.61349
2020-06-26,99.78377
2020-07-02,78.18125
2020-07-10,90.44333999999999
2020-07-17,91.32972000000001
2020-07-23,80.04216
2020-07-30,89.85588999999999
2020-08-07,86.91971000000001
2020-08-14,83.27394999999999
2020-08-20,85.20784
2020-08-27,79.01599
2020-09-03,86.53379
2020-09-11,85.15435
2020-09-18,86.7212
2020-09-24,94.95828
2020-10-01,95.01391999999998
2020-10-08,67.48431
2020-10-16,85.98159000000001
2020-10-23,89.79587000000001
2020-11-06,86.99689
2021-01-21,88.83585
2021-02-17,94.38268000000001
2021-03-10,90.84154
2021-04-14,156.11638
2021-05-19,133.39811
2021-05-28,174.19427
2021-06-04,239.67955
2021-06-11,130.64219
2021-06-18,122.41597
2021-06-24,103.59574
2021-07-02,94.25267
2021-07-09,84.41063
2021-07-15,86.98123000000001
2021-07-23,76.75534
2021-07-30,86.09357
2021-08-06,87.54683
2021-08-13,86.1218187
2021-08-19,88.0645208
2021-08-27,86.5677764
2021-09-03,86.27631129999999
2021-10-01,86.8132552
2021-10-07,100.2946395
2021-10-22,92.39017750000001
2021-11-03,90.20219089999999
2021-11-11,90.85103869999999
2021-12-20,93.2848224
