date,magnesium
YYYY-MM-DD,ppb
2015-06-02,17.51483
2015-06-12,29.6876892954
2015-06-13,254.30370581
2015-06-18,9.551309999999999
2015-07-06,25.469162611199998
2015-07-10,47.6504510938
2015-07-15,4.12078
2015-08-02,32.4088
2015-11-04,12.889610000000001
2015-11-23,6.64147
2015-11-28,23.25628
2016-05-27,25.644717564
2016-06-04,28.1107342026
2016-06-08,25.71456
2016-06-11,57.3336913718
2016-06-17,32.4319
2016-07-08,41.32477
2016-07-14,35.64027
2016-07-16,41.0708
2016-07-22,27.30107
2016-07-29,43.50478
2016-08-11,29.395410000000002
2016-08-19,46.30051
2016-08-26,47.71866
2016-09-02,51.686009999999996
2016-09-16,6.53284
2016-10-12,9.76021
2016-10-19,47.46192
2016-10-27,17.34081
2016-11-03,10.728470000000002
2016-11-12,10.126290000000001
2016-12-04,13.23487
2017-03-27,9.85858
2017-06-23,8.2121
2017-06-30,5.1493
2017-07-13,13.369230000000002
2017-07-14,37.759170000000005
2017-07-17,8.589020000000001
2017-07-30,5.19895
2017-08-11,8.76232
2017-08-25,6.5245
2017-08-31,37.33458
2017-09-18,9.12734
2017-09-27,9.15316
2017-10-14,6.49228
2017-10-19,6.1287
2017-10-23,7.2199100000000005
2017-10-24,4.89536
2017-11-03,8.66192
2017-11-14,8.868120000000001
2017-11-16,5.709210000000001
2017-12-19,6.58323
2018-01-06,8.90015
2018-01-25,7.5543499999999995
2018-01-29,8.47677
2018-03-03,8.25734
2018-03-04,8.31477
2018-03-13,7.151579999999999
2018-03-17,7.8715
2018-05-07,8.0923
2018-05-25,8.123850000000001
2018-06-03,7.38773
2018-06-08,10.35836
2018-06-15,8.34078
2018-06-25,7.694
2018-07-09,8.20654
2018-08-10,12.4592
2018-08-17,6.202109999999999
2018-08-24,7.55032
2018-08-25,7.7734499999999995
2018-08-31,8.74465
2018-09-07,26.59029
2018-09-14,25.330170000000003
2018-09-21,11.164909999999999
2018-10-11,5.54732
2018-10-12,12.38073
2018-10-18,10.20189
2018-10-25,8.68238
2018-11-02,5.71132
2018-11-10,6.68043
2018-11-16,4.58953
2018-11-17,5.90469
2019-07-27,53.38594
2019-08-13,33.01697
