date,thorium
YYYY-MM-DD,ppb
2015-06-02,0.07363
2015-06-18,0.00043999999999999996
2015-07-15,0.0
2015-08-02,0.00047
2015-11-04,0.0
2015-11-23,0.0
2015-11-28,0.00139
2016-05-27,0.0
2016-06-04,0.0014070839999999999
2016-06-08,0.0
2016-06-11,0.0106749082
2016-06-17,0.0
2016-07-08,0.0
2016-07-14,0.0
2016-07-16,0.00179
2016-07-22,0.0010500000000000002
2016-07-29,0.00019
2016-08-11,0.0
2016-08-19,0.00046
2016-08-26,0.0036699999999999997
2016-09-02,0.0
2016-09-16,0.00113
2016-10-12,0.0
2016-10-19,0.00639
2016-10-27,0.0
2016-11-03,0.0025
2016-11-12,0.0
2016-12-04,0.00264
2017-03-27,0.0010500000000000002
2017-06-23,0.0033100000000000004
2017-06-30,0.00024
2017-07-13,0.0
2017-07-14,0.00017
2017-07-17,0.0007899999999999999
2017-07-30,0.0
2017-08-11,0.0
2017-08-25,0.0
2017-08-31,0.00058
2017-09-18,0.00126
2017-09-27,0.0
2017-10-14,0.0
2017-10-19,0.00023
2017-10-23,0.0
2017-10-24,0.0
2017-11-03,0.0
2017-11-14,0.0
2017-11-16,0.0
2017-12-19,0.0
2018-01-06,0.0
2018-01-25,0.0
2018-01-29,0.0
2018-03-03,0.0
2018-03-04,0.0
2018-03-13,0.0
2018-03-17,0.0
2018-05-07,0.0
2018-05-25,0.0
2018-06-03,0.007600000000000001
2018-06-08,0.0
2018-06-15,0.0
2018-06-25,0.0
2018-07-09,0.0
2018-08-10,0.0
2018-08-17,0.00249
2018-08-24,0.00227
2018-08-25,0.0
2018-08-31,0.0
2018-09-07,0.0
2018-09-14,0.0
2018-09-21,0.0
2018-10-11,0.0
2018-10-12,0.0
2018-10-18,0.0
2018-10-25,0.0
2018-11-02,0.0
2018-11-10,0.0
2018-11-16,0.0
2018-11-17,0.0
2019-07-27,0.02409
2019-08-13,0.024489999999999998
