date,selenium
YYYY-MM-DD,ppb
2015-08-02,552.78953
2015-08-09,566.00104
2015-10-04,1.33812
2015-10-13,1.1423
2015-10-26,1.18546
2015-11-09,1.37413
2015-12-09,1.8586
2016-01-08,1.41657
2016-01-28,1.25828
2016-02-12,1.2663099999999998
2016-02-21,1.43717
2016-03-09,1.36437
2016-03-24,1.4283100000000002
2016-03-31,1.40795
2016-04-08,1.7768300000000001
2016-04-21,1.2611400000000001
2016-05-02,0.7320263658
2016-05-20,0.0
2016-05-27,0.8303250884
2016-06-04,0.81639495
2016-06-11,1.1800315893
2016-06-17,1.13959
2016-06-27,1.03335
2016-07-08,1.4422199999999998
2016-07-15,1.01121
2016-07-22,1.26343
2016-07-29,1.31106
2016-08-05,0.70495
2016-08-12,1.20461
2016-08-19,1.69786
2016-08-26,1.2397900000000002
2016-09-02,0.9654400000000001
2016-09-09,1.16643
2016-09-16,1.21457
2016-09-23,0.22513
2016-09-30,1.10565
2016-10-12,1.0345600000000001
2016-10-19,1.0872
2016-10-27,1.1185399999999999
2016-11-03,1.2070400000000001
2016-11-12,1.10015
2016-11-23,0.6882
2016-12-04,1.0416
2017-03-19,1.20594
2017-04-12,0.98721
2017-04-30,1.04337
2017-05-14,0.91812
2017-05-30,0.96298
2017-06-15,1.22316
2017-06-30,1.58245
2017-07-13,1.3533300000000001
2017-07-30,1.26474
2017-08-25,0.9963900000000001
2017-09-14,0.97817
2017-09-27,0.9198099999999999
2017-10-14,1.03057
2017-10-23,0.9694400000000001
2017-11-03,0.98686
2017-11-16,1.00112
2017-12-19,0.9737899999999999
2018-01-05,1.11876
2018-01-25,1.31571
2018-03-03,1.3643800000000001
2018-03-25,1.17905
2018-06-08,1.53118
2018-06-15,1.3736499999999998
2018-06-25,1.48948
2018-07-09,1.31805
2018-07-15,1.23465
2018-08-10,1.05395
2018-08-17,1.0076100000000001
2018-08-24,0.9659099999999999
2019-02-27,1.43595
2019-03-30,1.59285
2019-04-18,1.5704399999999998
2019-05-08,1.50319
2019-06-05,0.35121
2019-06-11,0.0
2019-06-21,0.0
2019-06-27,1.4951500000000002
2019-07-05,1.47483
2019-07-14,1.47483
2019-07-19,1.8406600000000002
2019-07-26,1.31224
2019-08-02,1.2919100000000001
2019-08-09,1.83119
2019-08-16,1.456
2019-08-23,1.88891
2019-08-30,1.62917
2019-09-06,1.57144
2019-09-13,1.34056
2019-09-20,1.48486
2019-09-27,1.22511
2019-10-04,1.456
2019-10-11,1.58588
2019-10-19,1.62917
2020-02-11,1.2840399999999998
2020-02-20,3.79842
2020-03-11,1.59834
2020-04-03,2.30551
2020-04-09,1.99121
2020-04-14,1.99121
2020-04-24,1.44119
2020-05-22,1.59834
2020-05-29,2.38408
2020-06-05,2.0697799999999997
2020-06-12,1.6769100000000001
2020-06-19,2.5412299999999997
2020-06-26,2.7769500000000003
2020-07-02,3.79842
2020-07-10,1.59834
2020-07-17,2.22693
2020-07-23,1.59834
2020-07-30,2.22693
2020-08-07,1.12689
2020-08-14,2.22693
2020-08-20,0.8126
2020-08-27,1.20547
2020-09-03,1.2840399999999998
2020-09-11,1.59834
2020-09-18,1.75549
2020-09-24,2.14836
2020-10-01,1.20547
2020-10-08,1.6769100000000001
2020-10-16,2.6197999999999997
2020-10-23,1.99121
2020-10-27,2.5412299999999997
2020-11-06,0.96974
2020-11-13,1.59834
2020-12-04,2.5412299999999997
2021-01-08,1.91264
2021-01-15,2.85553
2021-01-28,0.0
2021-02-11,0.0
2021-03-03,0.24872
2021-03-19,0.0
2021-03-25,1.17549
2021-04-07,0.89609
2021-05-17,1.7343
2021-05-28,1.26863
2021-06-04,1.92057
2021-06-11,3.10162
2021-06-18,1.10807
2021-06-24,1.99409
2021-07-02,0.66506
2021-07-09,0.77582
2021-07-15,1.10807
2021-07-23,0.26658000000000004
2021-07-30,0.47802999999999995
2021-07-31,0.19609000000000001
2021-08-06,0.33706
2021-08-13,1.0351855
2021-08-19,0.9978328000000001
2021-08-27,0.9656414000000001
2021-09-03,0.9108075999999999
2021-10-01,0.885847
2021-10-07,0.8732154000000001
2021-10-15,0.9463273
2021-10-22,1.0220982
2021-10-27,1.0669255
2021-11-03,1.0641978
2021-11-11,1.0729629
