date,cadmium
YYYY-MM-DD,ppb
2016-10-15,0.0041199999999999995
2016-10-19,0.00763
2016-10-27,0.01245
2016-11-03,0.005339999999999999
2016-11-12,0.0008399999999999999
2016-11-23,0.015200000000000002
2016-12-19,0.01899
2017-03-19,0.44209
2017-04-11,0.015380000000000001
2017-04-12,0.26748
2017-05-14,0.14017
2017-05-30,0.1502
2017-06-01,0.046090000000000006
2017-06-15,0.02738
2017-06-30,0.01047
2017-07-13,0.011869999999999999
2017-07-30,0.00663
2017-08-25,0.00883
2017-09-13,0.01057
2017-09-27,0.0054199999999999995
2017-10-14,0.00613
2017-10-23,0.00446
2017-10-29,0.012459999999999999
2017-11-03,0.0062
2017-11-16,0.0019399999999999999
2017-12-19,0.02172
2018-01-05,0.01051
2018-01-25,0.00969
2018-03-03,0.01643
2018-03-17,0.01286
2018-05-07,0.02173
2018-05-25,0.01106
2018-06-03,0.005370000000000001
2018-06-15,0.01252
2018-06-25,0.0133
2018-07-11,0.008199999999999999
2018-07-15,0.00384
2018-08-10,0.0102
2018-08-17,0.01432
2018-08-24,0.01225
