date,cadmium
YYYY-MM-DD,ppb
2020-01-24,0.00709
2020-02-26,0.00722
2020-03-04,0.0324
2020-03-10,0.01395
2020-06-27,0.00203
2020-07-01,0.00507
2020-07-06,0.0
2020-07-13,0.00839
2020-07-20,0.0
2020-07-22,0.0
2020-07-28,0.0
2020-08-04,0.01114
2020-08-11,0.06353
2020-08-18,0.06103
2020-08-26,0.01199
2020-09-01,0.03615
2020-09-08,0.024120000000000003
2020-09-15,0.036219999999999995
2020-09-21,0.036840000000000005
