date,potassium
YYYY-MM-DD,ppb
2014-12-12,737.0560399999999
2015-02-07,777.60231
2015-03-16,610.81521
2015-04-19,586.85941
2015-05-11,629.52668
2015-05-24,624.68443
2015-06-02,632.32314
2015-06-18,633.08499
2015-07-02,632.53305
2015-07-15,657.40636
2015-08-02,633.1500900000001
2015-08-09,645.7903899999999
2015-10-04,710.16889
2015-10-13,742.5344200000001
2015-10-26,734.0121499999999
2015-11-09,727.22252
2015-11-23,703.5162300000001
2016-01-28,690.8238799999999
2016-02-12,1269.82109
2016-02-21,696.3425100000001
2016-03-09,673.6979100000001
2016-03-24,669.74329
2016-03-31,661.80346
2016-04-08,637.3314
2016-04-21,633.55288
2016-05-02,644.4242734848
2016-05-12,608.3597334205999
2016-05-27,661.9943254423
2016-06-04,684.756477792
2016-06-11,610.9568509324
2016-06-17,717.3265200000001
2016-06-27,735.70551
2016-07-08,692.73727
2016-07-15,704.05282
2016-07-22,689.0274499999999
2016-07-29,720.03836
2016-08-05,760.4481599999999
2016-08-12,771.60173
2016-08-19,839.92823
2016-08-26,762.36202
2016-09-02,869.16314
2016-09-09,723.25568
2016-09-16,1049.1018800000002
2016-09-23,662.48261
2016-09-30,736.6645800000001
2016-10-12,713.94232
2016-10-19,696.62357
2016-10-27,681.8566699999999
2016-11-03,703.38923
2016-11-12,671.8562400000001
2016-11-23,732.3540800000001
2016-12-04,792.2904
2017-03-19,680.75562
2017-04-12,687.1095300000001
2017-04-30,698.23243
2017-06-30,689.9105
2017-07-30,663.8113599999999
2017-08-25,701.04066
2017-09-14,725.52108
2017-09-27,720.6280300000001
2017-10-14,739.5666799999999
2017-10-23,718.09304
2017-11-03,705.6913099999999
2017-11-16,676.94505
2018-03-03,643.03923
2018-05-25,810.06307
2018-06-08,756.9334100000001
2018-06-15,781.22122
2018-06-25,765.0444400000001
2018-07-09,841.0444699999999
2018-07-15,842.62563
2018-08-10,1200.41428
2018-08-17,851.54491
2018-08-24,869.4196999999999
2018-09-07,784.65441
2018-09-14,787.61671
2018-10-05,904.1639299999999
2018-10-12,819.61944
2018-10-18,816.92662
2018-10-25,806.79553
2018-11-02,800.74973
2018-11-10,838.19326
2018-11-17,818.4790700000001
2019-02-27,695.76257
2019-03-30,727.22974
2019-04-18,714.17918
2019-05-08,675.69695
2019-06-05,796.18787
2019-06-11,719.90751
2019-06-21,709.43194
2019-06-27,390.86573999999996
2019-07-05,629.7825799999999
2019-07-14,818.16303
2019-07-19,636.73995
2019-07-26,654.3494599999999
2019-08-02,660.92531
2019-08-09,783.38851
2019-08-16,818.9763499999999
2019-08-23,990.86612
2019-08-30,834.37831
2019-09-06,810.2901300000001
2019-09-13,880.81259
2019-09-20,796.22315
2019-09-27,875.3669
2019-10-04,832.2150399999999
2019-10-11,789.5984599999999
2019-10-19,789.4500800000001
2019-10-25,805.2411999999999
2019-11-03,819.20886
2019-11-08,774.0833299999999
2019-11-15,834.9134200000001
2019-11-22,820.44739
2019-12-04,801.223
2019-12-12,851.6276
2019-12-20,770.7382699999999
2020-01-08,771.0722
2020-01-21,818.70031
2020-01-28,795.5269199999999
2020-02-11,707.4138800000001
2020-02-20,678.35018
2020-03-11,675.10306
2020-03-17,665.10816
2020-04-03,713.04196
2020-04-09,678.61803
2020-04-14,684.72343
2020-04-24,686.4210400000001
2020-05-22,675.1552800000001
2020-05-29,694.5584200000001
2020-06-05,645.60183
2020-06-12,952.41401
2020-06-19,860.10437
2020-06-26,687.10484
2020-07-02,677.12931
2020-07-10,697.1110299999999
2020-07-17,766.6253899999999
2020-07-23,761.98694
2020-07-30,733.1593599999999
2020-08-07,715.6994
2020-08-14,715.71182
2020-08-20,781.2092
2020-08-27,755.67354
2020-09-03,794.9385100000001
2020-09-11,758.95427
2020-09-18,769.7645799999999
2020-09-24,875.31188
2020-10-01,795.4695300000001
2020-10-08,757.0908099999999
2020-10-16,750.83689
2020-10-23,805.01514
2020-10-27,865.49753
2020-11-06,733.3398699999999
2020-11-13,716.8307900000001
2020-12-04,714.77999
2021-01-15,692.83978
2021-01-28,710.77251
2021-02-11,689.67649
2021-03-03,994.32833
2021-03-19,684.53822
2021-03-25,766.96924
2021-04-07,726.70767
2021-05-17,706.78923
2021-05-28,705.43228
2021-06-04,743.47415
2021-06-11,756.56134
2021-06-18,714.1197
2021-06-24,715.03547
2021-07-02,741.58376
2021-07-09,736.1519699999999
2021-07-15,763.8538699999999
2021-07-30,812.9400099999999
2021-08-06,726.68921
2021-08-13,811.2796636
2021-08-19,848.0390837
2021-08-27,853.0129475
2021-09-03,847.7705294
2021-10-01,870.3572416
2021-10-07,1109.5072225
2021-10-15,775.0716376
2021-10-22,778.4925527999999
2021-10-27,845.4955028
2021-11-03,814.9733231
2021-11-11,757.875007
