date,thorium
YYYY-MM-DD,ppb
2016-10-16,0.10569
2016-10-19,0.028019999999999996
2016-10-27,0.01049
2016-11-03,0.005509999999999999
2016-11-12,0.0035199999999999997
2016-11-23,0.0402
2017-08-04,0.0
2017-08-25,0.06649000000000001
2017-09-27,0.02519
2017-10-05,0.01195
2017-10-12,0.00392
2017-10-24,0.0
2017-11-03,0.0
2017-11-15,0.0
2018-05-25,0.00771
2018-06-09,0.0149
2018-06-15,0.0071400000000000005
2018-06-25,0.00571
2018-07-16,0.00436
2018-08-10,0.0054600000000000004
2018-08-17,0.00646
2018-08-24,0.00559
2019-06-23,0.0
2019-06-27,0.03461
2019-07-05,0.03312
2019-07-14,0.02961
2019-07-19,0.02865
2019-07-26,0.04567
2019-08-02,0.02903
2019-08-09,0.03532
2019-08-16,0.03651
2019-08-23,0.11618
2019-08-30,0.15235
2019-09-06,0.23283
2019-09-13,0.04091
2019-09-20,0.03853
2019-09-27,0.03527
2019-10-04,0.0382
2019-10-11,0.03558
2019-10-19,0.03941
2020-03-01,0.03198
2020-04-01,0.02841
2020-04-28,0.03941
2020-05-22,0.05919
2020-05-29,0.029580000000000002
2020-06-05,0.03124
2020-06-12,0.02431
2020-06-19,0.02735
2020-06-26,0.019680000000000003
2020-07-02,0.02111
2020-07-10,0.02046
2020-07-17,0.02522
2020-07-23,0.03081
2020-07-30,0.01865
2020-08-07,0.02568
2020-08-14,0.0239
2020-08-20,0.02232
2020-08-27,0.02591
2020-09-03,0.03342
2020-09-11,0.020200000000000003
2020-09-18,0.02342
2020-09-24,0.02775
2020-10-01,0.021830000000000002
2020-10-08,0.023969999999999998
2020-10-16,0.01885
2020-10-23,0.019020000000000002
2020-11-06,0.019090000000000003
2021-01-21,0.016919999999999998
2021-02-17,0.05588
2021-03-10,0.058050000000000004
2021-04-14,0.07289
2021-05-19,0.09911
2021-05-28,0.07534
2021-06-04,0.07674
2021-06-11,0.0
2021-06-18,0.0
2021-06-24,0.0
2021-07-02,0.0
2021-07-09,0.0
2021-07-15,0.0
2021-07-23,0.0
2021-07-30,0.0
2021-08-06,0.0
2021-08-13,0.0005475
2021-08-19,0.0
2021-08-27,0.0
2021-09-03,0.0
2021-10-01,0.0
2021-10-07,0.0
2021-10-22,0.0036122999999999997
2021-11-03,0.011116299999999999
2021-11-11,0.0034621
2021-12-20,0.0166268
