date,copper
YYYY-MM-DD,ppb
2014-12-12,0.42525
2015-02-07,9.7196
2015-03-16,1.05116
2015-04-19,0.37817
2015-05-11,0.15016
2015-05-24,0.21545000000000003
2015-06-02,0.16413
2015-06-18,0.27952
2015-07-02,0.33233
2015-07-15,0.28725
2015-08-02,1.04518
2015-08-09,0.66405
2015-10-04,0.17292
2015-10-13,0.24329
2015-10-26,0.21355
2015-11-09,0.2188
2015-11-23,0.16033999999999998
2016-01-28,0.49083
2016-02-12,0.57948
2016-02-21,0.12501
2016-03-09,0.15022000000000002
2016-03-24,0.13292
2016-03-31,0.13774
2016-04-08,0.33395
2016-04-21,0.19904000000000002
2016-05-02,0.6567015213999999
2016-05-12,8.8827191929
2016-05-27,1.569338412
2016-06-04,1.5426901152
2016-06-11,1.4415027863999998
2016-06-17,0.22719
2016-06-27,0.22779
2016-07-08,0.1439
2016-07-15,0.4897
2016-07-22,0.01693
2016-07-29,0.12449
2016-08-05,0.32603
2016-08-12,0.18561
2016-08-19,0.12954
2016-08-26,0.05759
2016-09-02,0.17098
2016-09-09,0.0
2016-09-16,0.0
2016-09-23,0.0
2016-09-30,0.0
2016-10-12,1.08747
2016-10-19,0.59217
2016-10-27,0.36711
2016-11-03,0.88916
2016-11-12,0.36696
2016-11-23,0.46217
2016-12-04,0.29614
2017-03-19,0.03286
2017-04-12,0.18441
2017-04-30,0.03452
2017-06-30,0.13563999999999998
2017-07-30,0.35962
2017-08-25,0.91591
2017-09-14,1.03913
2017-09-27,0.23346
2017-10-14,0.10656
2017-10-23,15.525389999999998
2017-11-03,0.47488
2017-11-16,0.8318599999999999
2018-03-03,0.31875
2018-05-25,1.78802
2018-06-08,0.61373
2018-06-15,0.6168
2018-06-25,0.50869
2018-07-09,0.46609
2018-07-15,0.50305
2018-08-10,0.72587
2018-08-17,0.21828
2018-08-24,1.65069
2018-09-07,0.8652500000000001
2018-09-14,0.89186
2018-10-05,0.76826
2018-10-12,0.6673800000000001
2018-10-18,0.68527
2018-10-25,0.59154
2018-11-02,0.54925
2018-11-10,2.13721
2018-11-17,0.9006599999999999
2019-02-27,0.24985000000000002
2019-03-30,0.85907
2019-04-18,0.78473
2019-05-08,0.82106
2019-06-05,2.29957
2019-06-11,2.10561
2019-06-21,1.66159
2019-06-27,66.50712999999999
2019-07-05,1.1941899999999999
2019-07-14,0.78775
2019-07-19,1.30344
2019-07-26,4.80283
2019-08-02,0.6027
2019-08-09,0.6629
2019-08-16,0.71384
2019-08-23,38.42261
2019-08-30,25.01809
2019-09-06,23.459400000000002
2019-09-13,1.4677200000000001
2019-09-20,0.27688
2019-09-27,0.53493
2019-10-04,0.5134799999999999
2019-10-11,0.56818
2019-10-19,0.5977600000000001
2019-10-25,0.59251
2019-11-03,0.581
2019-11-08,0.62712
2019-11-15,0.8591
2019-11-22,0.75892
2019-12-04,0.88225
2019-12-12,1.07986
2019-12-20,29.694560000000003
2020-01-08,0.59121
2020-01-21,0.98364
2020-01-28,0.72625
2020-02-11,0.0
2020-02-20,1.18673
2020-03-11,0.15800000000000003
2020-03-17,0.0
2020-04-03,0.24684
2020-04-09,0.36242
2020-04-14,0.026389999999999997
2020-04-24,0.24894
2020-05-22,0.31529
2020-05-29,0.12789
2020-06-05,0.05572
2020-06-12,0.78554
2020-06-19,0.46482
2020-06-26,0.0933
2020-07-02,1.2543499999999999
2020-07-10,0.31383
2020-07-17,0.51041
2020-07-23,3.08255
2020-07-30,0.49695
2020-08-07,0.18386
2020-08-14,1.44238
2020-08-20,1.01074
2020-08-27,1.01684
2020-09-03,4.45015
2020-09-11,1.4052700000000002
2020-09-18,0.54708
2020-09-24,3.07571
2020-10-01,1.76872
2020-10-08,1.24776
2020-10-16,2.18663
2020-10-23,0.87358
2020-10-27,2.1179300000000003
2020-11-06,1.10759
2020-11-13,1.2556800000000001
2020-12-04,1.1304
2021-01-15,0.252
2021-01-28,13.08549
2021-02-11,10.64041
2021-03-03,19.34256
2021-03-19,10.178720000000002
2021-03-25,3.83034
2021-04-07,1.21154
2021-05-17,1.19385
2021-05-28,0.32199
2021-06-04,0.85358
2021-06-11,0.82967
2021-06-18,0.69174
2021-06-24,1.8074999999999999
2021-07-02,0.15592
2021-07-09,0.37566
2021-07-15,0.38519
2021-07-30,0.48297
2021-08-06,0.31262999999999996
2021-08-13,2.1885973
2021-08-19,7.547445699999999
2021-08-27,0.6941830999999999
2021-09-03,1.8341022000000002
2021-10-01,0.8453894000000001
2021-10-07,2.3099068000000003
2021-10-15,0.29763270000000003
2021-10-22,0.7310764000000001
2021-10-27,1.0204554000000001
2021-11-03,0.7532497
2021-11-11,1.2960244
