date,sodium
YYYY-MM-DD,ppb
2020-05-22,54977.739270000005
2020-05-29,19550.66592
2020-06-05,49328.07741
2020-06-12,62502.833790000004
2020-06-19,74089.41883000001
2020-06-26,70525.67113
2020-07-02,71148.67636
2020-07-10,70038.06298
2020-07-17,82922.8358
2020-07-23,74124.35532999999
2020-07-30,73342.5728
2020-08-07,77593.12703
2020-08-14,74477.99943
2020-08-20,79499.18991
2020-08-27,74446.72004
2020-09-03,69444.90463
2020-09-11,69132.99097
2020-09-18,75601.1917
2020-09-24,73501.87624
2020-10-01,69621.66112
2020-10-08,70245.77381
2020-10-16,62859.2194
2020-10-23,70026.20605000001
2020-10-27,64374.039469999996
2020-11-06,58302.98755
2020-11-20,65988.5693
2021-05-19,12054.03821
2021-05-28,106986.1267
2021-06-04,99411.01725
2021-06-11,14500.58716
2021-06-24,62682.67979
2021-07-09,57624.438369999996
2021-07-15,92732.78945
2021-07-23,66383.44473
2021-07-30,15303.06288
2021-08-06,58727.62009
2021-08-13,4433.5690134999995
2021-08-27,29621.9636512
2021-09-03,49306.1147641
2021-10-01,42262.1484651
2021-10-07,27927.3990563
2021-10-22,38752.8850904
2021-11-03,34563.4885013
2021-11-11,61066.268060200004
