date,germanium
YYYY-MM-DD,ppb
2017-03-17,0.0
2017-03-23,0.0
2017-05-03,0.0
2017-05-06,0.07335
2017-05-11,0.0
2017-05-15,0.0312
2017-06-22,0.02232
2017-10-29,0.029750000000000002
2019-04-06,0.005469999999999999
2019-04-06,0.01419
2020-07-14,0.016730000000000002
2020-07-21,0.03555
2020-07-29,0.03848
2020-08-04,0.03664
2020-08-12,0.04492
2020-08-19,0.044109999999999996
2020-08-24,0.04045
2020-09-01,0.04097
2020-09-14,0.050460000000000005
2020-09-23,0.022989999999999997
2020-09-29,0.05055
2020-10-05,0.0536
2020-10-13,0.03094
2020-10-22,0.01249
2020-10-28,0.023289999999999998
2020-11-03,0.013600000000000001
2020-11-19,0.015790000000000002
2021-04-28,6e-05
2021-05-04,0.01788
2021-05-13,0.030400000000000003
2021-05-18,0.06716
2021-05-27,0.021779999999999997
2021-06-02,0.02792
2021-06-08,0.01827
2021-06-15,0.01577
2021-06-22,0.03279
2021-07-01,0.03672
2021-07-07,0.03537
2021-07-16,0.047483899999999996
2021-07-20,0.0453716
2021-07-27,0.0639921
2021-08-04,0.047549799999999996
2021-08-10,0.055759800000000005
2021-08-17,0.053537
2021-08-24,0.062348100000000004
2021-08-31,0.0500844
2021-09-08,0.05013820000000001
2021-09-27,0.0434794
2021-10-04,0.059953000000000006
2021-10-15,0.0538119
