date,selenium
YYYY-MM-DD,ppb
2015-08-02,523.82269
2015-08-09,524.84028
2015-10-04,0.36227000000000004
2015-10-13,1.02526
2015-10-26,0.52687
2015-11-09,0.49604000000000004
2015-11-23,0.56336
2015-12-09,0.57429
2015-12-30,0.50468
2016-01-08,0.47335000000000005
2016-01-18,0.60772
2016-01-28,0.57292
2016-02-12,0.7549899999999999
2016-02-21,0.6552199999999999
2016-03-09,0.7361099999999999
2016-03-24,0.62123
2016-03-31,0.59577
2016-04-08,0.80417
2016-04-21,0.54632
2016-05-02,0.0
2016-05-12,0.0
2016-05-20,0.1864279109
2016-05-27,0.0
2016-06-04,0.1065490895
2016-06-11,0.0
2016-06-17,0.28972000000000003
2016-06-27,0.0
2016-07-08,0.11604
2016-07-15,0.28293999999999997
2016-07-22,0.51546
2016-07-29,0.45317999999999997
2016-08-05,0.01678
2016-08-12,0.58823
2016-08-19,0.6007
2016-08-26,0.40624
2016-09-02,0.2959
2016-09-09,0.62257
2016-09-16,0.47248999999999997
2016-09-23,0.53481
2016-09-30,0.5736100000000001
2016-10-12,0.63401
2016-10-19,0.43945999999999996
2016-10-27,0.44496
2016-11-03,0.8912599999999999
2016-11-12,0.54079
2016-11-23,0.34153
2016-12-04,0.3255
2017-04-12,0.45223
2017-04-30,0.49952
2017-05-14,0.35887
2017-05-30,2.5988499999999997
2017-06-15,0.20335999999999999
2017-06-30,0.4674
2017-07-30,0.3727
2017-08-25,0.35119
2017-09-14,0.42517
2017-09-27,0.45574000000000003
2017-10-14,0.43959
2017-10-23,0.43377
2017-11-16,0.48487
2018-03-03,0.56286
2018-05-07,0.8461799999999999
2018-05-25,0.7726299999999999
2018-06-08,0.53715
2018-06-15,0.46374
2018-06-25,0.69527
2018-07-09,0.69527
2018-07-15,0.46877
2018-08-10,0.25548000000000004
2018-08-17,0.7312799999999999
2018-08-24,0.75005
2018-09-07,1.27734
2018-09-14,0.84246
2018-09-21,1.09456
2018-09-28,1.17649
