date,zirconium
YYYY-MM-DD,ppb
2019-10-07,0.1265
2020-05-26,0.18351
2020-10-09,0.16371
2020-10-13,0.17309999999999998
2020-10-21,0.16485
2020-10-28,0.16585
2020-11-04,0.16555
2020-11-11,0.16143000000000002
2020-11-17,0.24883
2020-11-25,0.24552999999999997
2020-12-03,0.22386
2020-12-09,0.2632
2020-12-16,0.23887999999999998
2020-12-26,0.25058
2020-12-31,0.23826
2021-01-07,0.24687
2021-01-14,0.25956
2021-01-21,0.24673
2021-01-28,0.24118
2021-02-07,0.2437
2021-02-11,0.2496
2021-02-19,0.26404
2021-02-27,0.23536
2021-03-05,0.25531000000000004
2021-03-12,0.24595
2021-03-19,0.2319
2021-03-26,0.044079999999999994
2021-04-03,0.04502
2021-04-09,0.012620000000000001
2021-04-16,0.0524
2021-04-23,0.04135
2021-04-30,0.07778
2021-05-19,0.09081
2021-05-25,0.25557
2021-05-26,0.04934
2021-06-02,0.08018
2021-06-09,0.0595621
2021-06-16,0.048497
2021-06-23,0.0378446
2021-06-30,0.050616100000000004
2021-07-07,0.047117599999999996
2021-07-14,0.0286704
2021-07-21,0.017727800000000002
2021-07-28,0.19865
2021-08-04,0.0320152
2021-08-11,0.0172983
2021-08-18,0.0181896
2021-09-01,0.0217551
2021-09-08,0.0146528
2021-09-15,0.0133051
2021-09-22,0.0178356
2021-09-29,0.022772399999999998
2021-10-05,0.0
2021-10-06,0.015274399999999999
2021-10-13,0.015844900000000002
2021-10-20,0.0191814
2021-10-27,0.0210929
2021-11-03,0.0280968
2021-11-10,0.0331953
2021-11-17,0.0198126
2021-11-24,0.025174500000000002
2021-12-01,0.0192999
2021-12-08,0.0196766
2021-12-16,0.0563867
2021-12-23,0.0289087
