date,silicon
YYYY-MM-DD,ppb
2015-06-30,6443.4777784949
2015-07-07,6357.7205943368
2015-07-14,6383.2129109425
2015-07-21,6294.384449073
2015-07-28,6337.811152413
2015-08-04,6257.2268209218
2015-08-11,6293.6070740955
2015-08-18,3597.7794294414
2015-08-26,2211.550549656
2016-02-23,7508.80153
2016-02-29,7070.06446
2016-06-29,7210.7232
2016-08-03,7369.2952000000005
2016-08-10,7528.47999
2016-08-17,7529.43759
2016-08-23,7436.87926
2016-08-23,7479.50973
2016-08-23,7604.07202
2016-08-24,7603.86439
2016-08-31,7885.458079999999
2016-09-07,7490.6221000000005
2016-09-14,5461.72466
2016-09-21,7589.87809
2016-09-28,8011.70745
2016-10-11,1907.85269
2016-10-19,20989.01993
2016-10-26,7125.468879999999
2016-11-02,7327.447469999999
2016-11-09,7302.303889999999
2016-11-16,7489.09051
2016-11-22,6729.82144
2016-11-29,5275.75379
2016-12-06,6889.657580000001
2016-12-13,6898.1056499999995
2016-12-20,6844.77437
2016-12-27,6821.313810000001
2017-01-03,6832.972019999999
2017-01-10,6680.37076
2017-01-17,6923.54984
2017-01-24,6775.4784500000005
2017-01-31,6755.4223600000005
2017-02-07,7518.66752
2017-02-14,7459.37314
2017-02-21,7536.91346
2017-02-28,7547.86368
2017-03-07,7605.0452399999995
2017-03-14,7568.554709999999
2017-03-21,7577.01406
2017-03-28,7566.40664
2017-04-04,7725.917879999999
2017-04-11,7705.911660000001
2017-04-18,8267.259259999999
2017-04-25,7812.98763
2017-05-02,7969.93707
2017-05-09,8198.36154
2017-05-16,6926.68763
2017-05-23,7118.93124
2017-05-30,7420.35961
2017-06-14,7307.88582
2017-06-20,7262.94453
2017-06-29,7257.858230000001
2017-07-05,7430.1981
2017-07-12,7393.89222
2017-07-18,7377.71326
2017-07-25,7345.00091
2017-08-03,7370.1402
2017-08-09,7406.35679
2017-08-16,7396.1086
2017-08-23,7410.05805
2017-08-29,7298.827380000001
2017-09-03,7345.01669
2017-09-13,7467.33695
2017-09-20,7600.75821
2017-09-27,7071.93898
2017-10-05,7018.515710000001
2017-10-10,6805.42663
2017-10-17,6979.3997899999995
2017-10-24,7097.52909
2017-10-31,7082.11637
2017-11-07,7123.02944
2017-11-14,7166.3049599999995
2017-11-21,7324.4156299999995
2017-11-28,7397.54002
2017-12-03,7335.45047
2017-12-12,7498.9735900000005
2017-12-19,7430.72963
2017-12-26,7456.51438
2018-01-02,7462.11232
2018-01-09,7484.94053
2018-01-16,7476.67093
2018-01-23,6471.609979999999
2018-01-30,6532.171479999999
2018-02-06,6604.35961
2018-02-13,6638.70375
2018-02-20,6640.99791
2018-02-27,6701.73312
2018-03-06,6659.747670000001
2018-03-13,6709.66609
2018-07-16,7275.07916
2018-07-23,7039.29548
2018-09-04,7043.76613
2018-09-10,8038.9116699999995
2018-09-17,7074.79782
2018-09-24,7046.5598899999995
2018-10-01,7033.85761
2018-10-29,6976.510200000001
2019-05-07,7038.29118
