date,chromium
YYYY-MM-DD,ppb
2020-05-21,2.38309
2020-05-27,0.2919
2020-06-03,0.05215
2020-06-09,0.13018
2020-06-17,1.00162
2020-06-25,0.1277
2020-06-30,0.25439
2020-07-07,0.19819
2020-07-14,0.14755000000000001
2020-07-22,0.21672
2020-07-27,0.24132
2020-08-02,0.14359
2020-08-10,1.44209
2020-08-18,0.71318
2020-08-24,0.23367
2020-08-31,0.41142999999999996
2020-09-15,0.88746
2020-09-22,0.50593
2020-09-28,0.40737
2020-10-08,0.29521
2020-10-14,0.23553000000000002
2020-10-22,0.60474
2020-11-11,0.8791499999999999
2020-12-08,0.35645000000000004
2020-12-29,0.32436
2021-01-29,0.29994
2021-02-09,0.11086
2021-03-10,0.3005
2021-04-16,0.27424
2021-04-29,0.07561
2021-05-12,0.24464
2021-05-20,0.20183
2021-05-26,0.14539
2021-06-01,0.10114
2021-06-08,0.22213
2021-06-14,0.18966
2021-06-21,0.11063
2021-06-29,0.25673999999999997
2021-07-08,0.37614000000000003
2021-07-21,0.06727
2021-08-05,0.024260000000000004
2021-08-11,0.044879999999999996
2021-08-18,0.01647
2021-08-26,0.03989
2021-08-30,0.10004
2021-09-12,0.01792
2021-10-06,0.01242
2021-10-13,0.17202479999999998
2021-11-05,0.6744962
2021-11-12,0.2677864
2021-12-16,0.5261316
