date,zirconium
YYYY-MM-DD,ppb
2017-02-08,0.05469
2017-02-28,0.05806
2017-03-01,0.039760000000000004
2017-03-24,0.07250999999999999
2017-03-26,0.09365
2018-02-28,0.12102
2018-03-02,0.0737
2018-03-05,0.07359
2018-03-15,0.10964
2018-03-16,0.05766
2018-03-19,0.07718
2018-03-23,0.06566
2018-03-24,0.1109
2018-04-06,0.10192
2018-04-07,0.10361999999999999
2018-04-08,0.08038000000000001
2018-04-09,0.23432999999999998
2018-04-21,0.09139
2018-05-03,0.09741
2018-06-17,0.07622999999999999
2018-06-18,0.12064
2018-07-08,0.11438000000000001
2018-07-09,0.06804
2018-07-11,0.0861
2019-06-19,0.16637
2019-07-01,0.23067000000000001
2019-07-26,0.21591
2019-07-27,2.1798100000000002
2019-07-28,0.21111999999999997
2019-07-31,0.15119
2019-08-05,0.13244
2020-02-05,0.0
