date,phosphorus
YYYY-MM-DD,ppb
2014-12-12,67.92663276595744
2015-01-24,62.61017234042552
2015-02-07,50.26203468085105
2015-02-19,65.4884959574468
2015-03-16,58.618777234042554
2015-04-19,49.51867446808511
2015-05-11,293.77423
2015-05-24,351.46538
2015-06-02,291.90346
2015-06-18,162.84257
2015-07-02,330.46397
2015-07-15,234.77991
2015-08-02,60.67259319148937
2015-08-09,58.271359574468086
2015-10-04,271.82383000000004
2015-10-13,226.40260999999998
2015-10-26,276.43578
2015-11-09,319.39226
2015-11-23,300.147
2015-12-09,302.81165999999996
2015-12-30,276.46248
2016-01-08,295.63161
2016-01-18,339.84254
2016-01-28,335.63621
2016-02-12,348.25626
2016-02-21,348.02694
2016-03-09,360.46711000000005
2016-03-24,293.70228000000003
2016-03-31,317.78845
2016-04-08,229.93030000000002
2016-04-21,226.23660999999998
2016-05-02,139.4039696422
2016-05-12,103.0731450705
2016-05-20,132.9632906161
2016-05-27,126.7600463532
2016-06-04,117.362043207
2016-06-11,110.84133618610001
2016-06-17,99.57471999999999
2016-06-27,110.6705
2016-07-08,152.1847
2016-07-15,169.6856
2016-07-22,153.04562
2016-07-29,185.98241000000002
2016-08-05,149.22986
2016-08-12,163.57253
2016-08-19,193.18878999999998
2016-08-26,170.7068
2016-08-27,279.37628
2016-09-02,168.30244
2016-09-09,339.74181999999996
2016-09-16,621.5752
2016-09-23,297.2842
2016-09-30,317.50685
2016-10-12,255.98307
2016-10-19,275.08118
2016-10-27,271.03072000000003
2016-11-03,311.03834
2016-11-12,301.53704999999997
2016-11-23,244.06319
2016-12-04,233.30414000000002
2016-12-19,228.42847
2017-03-19,140.33247
2017-04-12,130.58546
2017-04-30,132.02422
2017-05-14,80.90321
2017-05-30,79.13472999999999
2017-06-15,84.6768
2017-06-30,77.46829
2017-07-13,105.64527
2017-07-30,127.63485
2017-08-25,147.95253
2017-09-14,183.34135
2017-09-27,181.8956
2017-10-14,177.13869
2017-10-23,181.26898
2017-10-29,214.12220000000002
2017-11-03,180.31085000000002
2017-11-16,192.68648
2018-03-04,268.00069
2018-05-25,211.88294
2018-06-08,245.90237
2018-06-15,312.84438
2018-06-25,374.28989
2018-07-09,508.81481
2018-07-15,495.13163
2018-08-10,640.47799
2018-08-17,629.63621
2018-08-24,625.49422
2018-09-07,786.69462
2018-09-14,826.62014
2018-09-21,841.005
2018-10-05,898.42084
2018-10-12,916.6075
2018-10-18,896.97923
2018-10-25,839.04899
2018-11-02,836.13242
2018-11-10,872.70749
2018-11-17,870.5914300000001
2019-02-27,556.68622
2019-03-21,567.81465
2019-03-30,541.7705
2019-04-18,383.68849
2019-05-08,277.45146
2019-06-05,180.3351
2019-06-11,177.71952
2019-06-21,163.84958
2019-06-27,164.77703000000002
2019-07-05,161.20301999999998
2019-07-14,179.37822
2019-07-19,207.30295999999998
2019-07-26,250.76099
2019-08-02,265.00055
2019-08-09,248.94218999999998
2019-08-16,274.38251
2019-08-23,1014.2724800000001
2019-08-30,374.86917
2019-09-06,425.12748
2019-09-13,354.2551
2019-09-20,311.31316000000004
2019-09-27,334.96841000000006
2019-10-04,354.97914000000003
2019-10-11,400.69868999999994
2019-10-19,349.71704
2019-10-25,351.24526499999996
2019-11-03,358.474354
2019-11-08,347.03524799999997
2019-11-15,356.20699799999994
2019-11-22,350.335328
2019-12-04,363.7508209999999
2019-12-12,373.96706199999994
2019-12-20,372.686916
2020-01-08,391.70467
2020-01-21,389.055191
2020-01-28,397.93560099999996
2020-02-11,883.2261
2020-02-20,855.28862
2020-03-11,929.4583799999999
2020-03-17,959.18704
2020-04-03,938.80457
2020-04-09,710.93766
2020-04-14,656.85971
2020-04-24,656.2632600000001
2020-05-22,316.73508000000004
2020-05-29,307.29396
2020-06-05,249.35644
2020-06-12,305.10764
2020-06-19,356.88576
2020-06-26,425.85997999999995
2020-07-02,506.6656
2020-07-10,572.76493
2020-07-17,598.8078800000001
2020-07-23,632.10788
2020-07-30,606.76
2020-08-07,699.80384
2020-08-14,759.8483899999999
2020-08-20,835.4048
2020-08-27,865.42996
2020-09-03,829.14127
2020-09-11,787.58538
2020-09-18,872.7868
2020-09-24,867.51752
2020-10-01,883.12671
2020-10-08,893.96388
2020-10-16,964.0592300000001
2020-10-23,913.35153
2020-10-27,1027.4959900000001
2020-11-06,968.13564
2020-11-13,995.97619
2020-11-20,1036.34557
2020-12-04,1041.21784
2021-01-08,1027.99312
2021-01-15,1045.3526
2021-01-28,918.5686699999999
2021-02-11,917.81227
2021-03-03,965.5779699999999
2021-03-19,990.59634
2021-03-25,1140.08
2021-04-07,862.5393
2021-05-17,388.3757
2021-05-28,372.2145
2021-06-04,313.8134
2021-06-11,357.84495999999996
2021-06-18,422.65866000000005
2021-07-02,557.3638
2021-07-09,632.97232
2021-07-15,605.14448
2021-07-30,666.45574
2021-08-06,654.1623099999999
2021-08-13,7.0278163000000005
2021-08-19,10.8255436
2021-08-27,6.2307255999999995
2021-09-03,3.1778061
2021-10-01,6.746275600000001
2021-10-07,11.0167255
2021-10-22,8.5983162
2021-10-27,11.9055804
2021-11-03,18.9712763
2021-11-11,16.7748086
2022-10-15,1.2303869
