date,iron
YYYY-MM-DD,ppb
2016-10-14,19.19296
2017-07-13,21.32959
2017-07-19,27.15869
2017-07-27,13.92309
2017-08-03,15.37042
2017-08-04,19.30909
2017-09-18,32.35936
2017-10-15,27.7192
