date,cadmium
YYYY-MM-DD,ppb
2020-05-22,0.06149
2020-05-29,0.02081
2020-06-12,0.01627
2020-06-19,0.07837999999999999
2020-06-26,0.08952
2020-07-02,0.01676
2020-07-10,0.04541
2020-07-17,0.08562
2020-07-23,0.08455000000000001
2020-07-30,0.037970000000000004
2020-08-07,0.05585
2020-08-14,0.056080000000000005
2020-08-20,0.05693
2020-08-27,0.05740000000000001
2020-09-03,0.048139999999999995
2020-09-11,0.12507000000000001
2020-09-18,0.09939999999999999
2020-09-24,0.07869
2020-10-01,0.06784
2020-10-16,0.02966
2020-10-23,0.06793
2020-11-06,0.048380000000000006
2021-01-21,0.04979
2021-02-17,0.0184
2021-03-10,0.02859
2021-04-14,0.01466
2021-05-19,0.05506
2021-05-28,0.0
2021-06-04,0.06766
2021-06-11,0.023080000000000003
2021-06-24,0.012669999999999999
2021-07-09,0.02406
2021-07-15,0.01183
2021-07-23,0.0
2021-07-30,0.03487
2021-08-06,0.01157
2021-08-13,0.0324603
2021-08-27,0.021853499999999998
2021-09-03,0.025189299999999998
2021-10-01,0.054125400000000004
2021-10-07,0.0386754
2021-10-22,0.0399747
2021-11-03,0.0291559
2021-11-11,0.0478824
