date,germanium
YYYY-MM-DD,ppb
2014-12-12,0.0008100000000000001
2015-01-24,0.0021000000000000003
2015-02-07,0.00087
2015-02-19,0.00349
2015-03-16,0.0
2015-04-19,0.0032899999999999995
2015-05-11,0.012379999999999999
2015-05-24,0.011640000000000001
2015-06-02,0.01562
2015-06-18,0.007299999999999999
2015-07-02,0.01693
2015-07-15,0.00437
2015-08-02,0.00853
2015-08-09,0.00763
2015-10-04,0.0
2015-10-13,0.0
2015-10-26,0.0069
2015-11-09,0.005509999999999999
2015-11-23,0.00368
2015-12-09,0.0
2015-12-30,0.00527
2016-01-08,0.0043
2016-01-18,0.00724
2016-01-28,0.00844
2016-02-12,0.0052
2016-02-21,0.0033799999999999998
2016-03-09,0.0075699999999999995
2016-03-24,0.0074
2016-03-31,0.00942
2016-04-08,0.0
2016-04-21,0.0
2016-05-02,0.0
2016-05-12,0.0
2016-05-20,0.0
2016-05-27,0.0
2016-06-04,0.009411246
2016-06-11,0.004320193799999999
2016-06-17,0.0
2016-06-27,0.0
2016-07-08,0.01676
2016-07-15,0.01045
2016-07-22,0.0077599999999999995
2016-07-29,0.0035700000000000003
2016-08-05,0.0
2016-08-12,0.0
2016-08-19,0.0
2016-08-26,0.0
2016-08-27,0.0
2016-09-02,0.0
2016-09-09,0.0014999999999999998
2016-09-16,0.0
2016-09-23,7e-05
2016-09-30,0.0
2016-10-12,0.0
2016-10-19,0.0
2016-10-27,0.00369
2016-11-03,0.00554
2016-11-12,0.0
2016-11-23,0.0
2016-12-04,0.0
2016-12-19,0.0
2017-03-19,0.0
2017-04-12,0.0053
2017-04-30,0.0015400000000000001
2017-05-14,0.00312
2017-05-30,0.00307
2017-06-15,0.0
2017-06-30,0.00164
2017-07-13,0.0
2017-07-30,0.0
2017-08-25,0.00147
2017-09-14,0.00435
2017-09-27,0.00326
2017-10-14,0.0
2017-10-23,0.0035199999999999997
2017-10-29,0.00784
2017-11-03,0.0013
2017-11-16,0.0
2018-03-04,0.00457
2018-05-25,0.0067599999999999995
2018-06-08,0.00693
2018-06-15,0.00319
2018-06-25,0.0016
2018-07-09,0.00247
2018-07-15,0.00953
2018-08-10,0.00348
2018-08-17,0.00384
2018-08-24,0.0012300000000000002
2018-09-07,0.0
2018-09-14,0.0
2018-09-21,0.00594
2018-10-05,0.0
2018-10-12,0.0031100000000000004
2018-10-18,0.00234
2018-10-25,0.00304
2018-11-02,0.00041
2018-11-10,0.00038
2018-11-17,0.0
2019-02-27,0.00618
2019-03-21,0.0065
2019-03-30,0.0
2019-04-18,0.00875
2019-05-08,0.0
2019-06-05,0.0
2019-06-11,0.0
2019-06-21,0.0
2019-06-27,0.00693
2019-07-05,0.014499999999999999
2019-07-14,0.00417
2019-07-19,0.01573
2019-07-26,0.008620000000000001
2019-08-02,0.00759
2019-08-09,0.012719999999999999
2019-08-16,0.012240000000000001
2019-08-23,0.12261
2019-08-30,0.01889
2019-09-06,0.02683
2019-09-13,0.00712
2019-09-20,0.015050000000000001
2019-09-27,0.00468
2019-10-04,0.0
2019-10-11,0.0025099999999999996
2019-10-19,0.00792
2019-10-25,0.0
2019-11-03,0.0
2019-11-08,0.0
2019-11-15,0.0
2019-11-22,0.0
2019-12-04,0.0
2019-12-12,0.0
2019-12-20,0.0
2020-01-08,0.0
2020-01-21,0.0
2020-01-28,0.0
2020-02-11,0.0
2020-02-20,0.0
2020-03-11,0.0
2020-03-17,0.0
2020-04-03,0.0
2020-04-09,0.0
2020-04-14,0.0
2020-04-24,0.0
2020-05-22,0.0
2020-05-29,0.0
2020-06-05,0.0
2020-06-12,0.0
2020-06-19,0.0
2020-06-26,0.0
2020-07-02,0.0
2020-07-10,0.0
2020-07-17,0.0
2020-07-23,0.0
2020-07-30,0.0
2020-08-07,0.0
2020-08-14,0.0
2020-08-20,0.0
2020-08-27,0.0
2020-09-03,0.0
2020-09-11,0.0
2020-09-18,0.0
2020-09-24,0.0
2020-10-01,0.0002
2020-10-08,0.0
2020-10-16,0.0
2020-10-23,0.0
2020-10-27,0.0
2020-11-06,0.0
2020-11-13,0.0
2020-11-20,0.0
2020-12-04,0.0
2021-01-08,0.0
2021-01-15,0.01472
2021-01-28,0.03923
2021-02-11,0.0
2021-03-03,0.0
2021-03-19,0.025349999999999998
2021-03-25,0.0
2021-04-07,0.02294
2021-05-17,0.02545
2021-05-28,0.01908
2021-06-04,0.0
2021-06-11,0.0
2021-06-18,0.0
2021-07-02,0.0
2021-07-09,0.0
2021-07-15,0.01361
2021-07-30,0.00248
2021-08-06,0.00326
2021-08-13,0.0028147
2021-08-19,0.0
2021-08-27,0.095239
2021-09-03,0.0066960000000000006
2021-10-01,0.0025796
2021-10-07,0.0017709
2021-10-22,0.0029040000000000003
2021-10-27,0.005126599999999999
2021-11-03,0.0051014
2021-11-11,0.005025099999999999
2022-10-15,0.0036333
