date,cobalt
YYYY-MM-DD,ppb
2017-02-08,0.08654
2017-02-28,0.03171
2017-03-01,0.43469
2017-03-24,0.051399999999999994
2017-03-26,0.0641
2018-02-28,0.13408
2018-03-02,0.21444000000000002
2018-03-05,0.04224
2018-03-15,0.89944
2018-03-16,0.03569
2018-03-19,0.12491000000000001
2018-03-23,0.026979999999999997
2018-03-24,0.01571
2018-04-06,0.06741
2018-04-07,0.01295
2018-04-08,0.016730000000000002
2018-04-09,0.027880000000000002
2018-04-21,0.056889999999999996
2018-05-03,0.13108
2018-06-17,0.044700000000000004
2018-06-18,0.022539999999999998
2018-07-08,0.14339
2018-07-09,0.0369
2018-07-11,0.6396499999999999
2019-06-19,0.07526
2019-07-01,0.29303
2019-07-26,0.13447
2019-07-27,0.23315
2019-07-28,0.08047
2019-07-31,0.08694
2019-08-05,0.061380000000000004
2020-02-05,0.0
