date,rubidium
YYYY-MM-DD,ppb
2019-05-11,1.0764500000000001
2019-05-19,1.1411200000000001
2019-05-24,1.19602
2019-06-03,1.15828
2019-06-18,1.2738
2019-07-01,1.4051
2019-07-09,1.52436
2019-07-16,1.5712599999999999
2019-08-13,1.6559
2019-09-05,1.67863
2020-04-21,1.46671
2020-05-13,0.8062999999999999
2020-05-28,0.95827
2020-06-10,1.12164
2020-06-24,1.0682800000000001
2020-07-08,1.31178
2020-08-03,1.31955
2020-08-26,1.49606
2020-09-29,1.5581200000000002
2020-11-03,1.36884
2021-05-10,1.35934
2021-05-24,1.42264
2021-06-17,1.0534962
2021-06-30,1.1045874
2021-07-22,1.2055172
2021-08-20,1.3971015
2021-09-30,1.4422877
