date,thorium
YYYY-MM-DD,ppb
2015-03-16,0.0016799999999999999
2015-04-19,0.0016200000000000001
2015-05-02,0.004070000000000001
2015-05-11,0.00020999999999999998
2015-05-24,0.01834
2015-06-02,0.0015899999999999998
2015-06-18,0.00424
2015-07-02,0.00012
2015-07-15,0.00109
2015-08-02,0.00156
2015-08-09,0.00058
2015-10-04,0.00381
2015-10-13,0.0008399999999999999
2015-10-26,0.0026699999999999996
2015-11-09,0.060730000000000006
2015-11-23,0.00043999999999999996
2016-04-08,0.007730000000000001
2016-04-21,0.00052
2016-05-02,0.0013662540000000001
2016-05-12,0.0
2016-05-20,0.0653469858
2016-05-27,0.0
2016-06-04,0.0
2016-06-11,0.0
2016-06-17,0.0025099999999999996
2016-06-27,0.0
2016-07-08,0.00364
2016-07-15,0.0
2016-07-22,0.00334
2016-07-29,0.09383000000000001
2016-08-05,0.0
2016-08-12,0.00196
2016-08-19,0.00949
2016-08-26,0.00062
2016-09-02,0.0
2016-09-09,0.0
2016-09-16,0.00204
2016-09-23,0.01586
2016-09-30,0.00018
2016-10-12,0.0
2016-10-19,0.0
