date,antimony
YYYY-MM-DD,ppb
2014-12-12,0.054419999999999996
2015-04-19,0.0446
2015-05-11,0.030430000000000002
2015-05-24,0.06892
2015-06-02,0.046290000000000005
2015-06-18,0.12886
2015-07-02,0.050359999999999995
2015-07-15,0.06923
2015-08-02,0.04436
2015-08-09,0.04627
2015-10-04,0.10324
2015-10-13,0.13771
2015-10-26,0.09613999999999999
2015-11-09,0.11151
2015-11-23,0.08463
2016-04-08,0.07499
2016-04-21,0.05476
2016-05-02,0.052135884900000005
2016-05-20,0.0821367994
2016-05-27,0.04229542880000001
2016-06-04,0.0748798855
2016-06-11,0.060602707500000005
2016-06-17,0.05552
2016-06-27,0.08727
2016-07-08,0.0765
2016-07-15,0.07952000000000001
2016-07-22,0.057359999999999994
2016-07-29,0.060689999999999994
2016-08-05,0.04804
2016-08-12,0.07689
2016-08-19,0.08278
2016-08-26,0.10789
2016-09-02,0.07721
2016-09-09,0.07355
2016-09-16,0.05149
2016-09-23,0.04919
2016-09-30,0.04379
2016-10-12,0.05873
2016-10-19,0.04902
2016-10-27,0.05351
2016-11-03,0.06186
2016-11-12,0.04166
2016-11-23,0.03186
2016-12-04,0.05695
2017-05-14,0.0
2017-05-30,0.0
2017-06-15,0.0
2017-06-30,0.0
2017-07-13,0.0
2017-07-30,0.0
2017-08-25,0.0
2017-09-14,0.00028
2017-09-27,0.0
2017-10-14,0.00198
2017-10-23,0.0
2017-11-03,0.0032
2017-11-16,0.0
2018-03-03,0.0
2018-05-25,0.046880000000000005
2018-06-08,0.0776
2018-06-15,0.04586
2018-06-25,0.049550000000000004
2018-07-09,0.03189
2018-07-15,0.05478
2018-08-10,0.039029999999999995
2018-08-17,0.0252
2018-08-24,0.03281
2018-09-07,0.023119999999999998
2018-09-14,0.02284
2018-09-21,0.02883
2018-09-28,0.02908
