date,selenium
YYYY-MM-DD,ppb
2019-04-27,1.51833
2019-05-11,9.24908
2019-05-19,7.81999
2019-06-18,6.215159999999999
2019-07-01,2.57981
2019-07-09,2.2346399999999997
2019-07-16,3.27334
2019-08-13,2.7364500000000005
2019-09-05,3.31823
2019-10-02,3.38183
2020-04-21,0.74543
2020-05-13,8.891480000000001
2020-05-28,0.61403
2020-06-10,3.31307
2020-06-24,4.0687
2020-07-08,1.6055700000000002
2020-08-03,2.5545
2020-08-26,3.3229599999999997
2020-09-29,0.71417
2020-11-03,1.8366099999999999
2021-05-10,3.8811400000000003
2021-05-24,1.98461
2021-06-17,0.0670299
2021-06-30,0.044564799999999995
2021-07-22,0.0620463
2021-08-20,0.0708955
2021-09-30,0.1058867
