date,chromium
YYYY-MM-DD,ppb
2019-04-27,3.27269
2019-05-10,0.36417
2019-05-19,0.39749
2019-05-24,0.37777
2019-06-03,0.30934
2019-06-18,2.42673
2019-07-01,0.0
2019-07-09,1.27197
2019-07-16,0.50451
2019-08-15,1.7064
2019-09-05,6.690430000000001
2019-10-02,1.3439999999999999
2020-04-21,1.80702
2020-05-13,2.1435199999999996
2020-05-28,0.7018599999999999
2020-06-10,1.14264
2020-06-24,0.49325
2020-07-08,1.90373
2020-08-04,0.31351999999999997
2020-08-26,0.95909
2020-09-29,1.48048
2020-11-03,2.7352700000000003
2021-05-10,1.35328
2021-05-24,0.36679000000000006
2021-06-17,1.8353154999999999
2021-06-30,0.5366420000000001
2021-07-22,0.3278138
2021-08-20,0.19418580000000002
2021-09-30,0.1622518
