date,uranium
YYYY-MM-DD,ppb
2019-10-07,0.0215
2020-05-26,0.021289999999999996
2020-10-09,0.00393
2020-10-13,0.00907
2020-10-21,0.0008600000000000001
2020-10-28,0.01051
2020-11-04,0.0193
2020-11-11,0.01118
2020-11-17,0.02068
2020-11-25,0.021740000000000002
2020-12-03,0.02438
2020-12-09,0.03472
2020-12-16,0.02019
2020-12-26,0.01482
2020-12-31,0.01201
2021-01-07,0.02028
2021-01-14,0.02387
2021-01-21,0.021380000000000003
2021-01-28,0.02326
2021-02-07,0.03366
2021-02-11,0.02675
2021-02-19,0.02334
2021-02-27,0.02006
2021-03-05,0.02567
2021-03-12,0.02611
2021-03-19,0.01253
2021-03-26,0.0284
2021-04-03,0.0315
2021-04-09,0.027200000000000002
2021-04-16,0.025769999999999998
2021-04-23,0.03808
2021-04-30,0.03522
2021-05-19,0.0266
2021-05-25,0.02921
2021-05-26,0.020040000000000002
2021-06-02,0.0269
2021-06-09,0.0240566
2021-06-16,0.0211501
2021-06-23,0.019632
2021-06-30,0.0261363
2021-07-07,0.0230707
2021-07-14,0.0213053
2021-07-21,0.0203966
2021-07-28,0.0211
2021-08-04,0.0271671
2021-08-11,0.0205642
2021-08-18,0.0306303
2021-09-01,0.0220985
2021-09-08,0.0219467
2021-09-15,0.021815300000000003
2021-09-22,0.021959700000000002
2021-09-29,0.0203645
2021-10-05,0.01995
2021-10-06,0.021943599999999997
2021-10-13,0.0223655
2021-10-20,0.022418300000000002
2021-10-27,0.020494799999999997
2021-11-03,0.0530901
2021-11-10,0.021605
2021-11-17,0.014338700000000001
2021-11-24,0.0245823
2021-12-01,0.024537500000000004
2021-12-08,0.025503
2021-12-16,0.0218259
2021-12-23,0.023019500000000002
