date,sodium
YYYY-MM-DD,ppb
2015-04-28,2171.531384066
2015-04-29,2274.9367292712
2015-04-30,2325.1169419344
2015-05-01,2152.600986809
2015-05-02,2073.098511632
2015-05-03,1967.101068983
2015-05-04,1880.2694875217
2015-05-05,1838.283328755
2015-05-06,1801.700645553
2015-05-07,1831.4830186368
2015-05-08,1960.5327863854
2015-05-09,1943.549731255
2015-05-10,1856.7817859084
2015-05-11,1954.72881854
2015-05-12,2003.227165417
2015-05-13,1951.18731236
2015-05-14,1971.141733943
2015-05-15,1911.422954411
2015-05-16,1829.12934666
2015-05-17,1836.0488144592
2015-05-18,1906.8568427221
2015-05-19,1927.39254636
2015-05-20,2738.6528840724
2015-05-20,2133.576301275
2015-05-21,1949.1548142976
2015-05-21,2084.4595678004
2015-05-22,2077.1038941093
2015-05-23,2047.072053332
2015-05-24,2028.5751962903
2015-05-25,2168.3365598872
2015-05-26,2098.6450251538
2015-05-27,2001.1978514058
2015-05-28,1888.4627456238
2015-05-29,1828.519404582
2015-05-30,1752.14820684
2015-05-31,1690.222702156
2015-06-01,1474.6265031564
2015-06-02,1339.420732597
2015-06-03,1206.496612095
2015-06-04,1160.4830381158
2015-06-05,1828.419895509
2015-06-06,1201.740209347
2015-06-07,1197.945272404
2015-06-08,1087.676442989
2015-06-09,1062.1373297921
2015-06-10,1005.6564039984
2015-06-11,1025.7770250882
2015-06-12,994.5322539308
2015-06-13,1037.252038707
2015-06-14,1001.862658153
2015-06-15,1031.0503028836001
2015-06-16,1056.037534029
2015-06-17,967.4975020419998
2015-06-18,993.0980315828
2015-06-19,972.6049334869999
2015-06-20,987.8856254872001
2015-06-21,966.3585352176001
2015-06-22,997.2075328804
2015-06-23,978.0407039694
2015-06-24,982.13992486
2015-06-25,1002.8549202812
2015-06-26,999.4486635322
2015-06-27,990.7343679524998
2015-06-28,1401.465632805
2015-06-29,1019.1703556709999
2015-06-30,1024.6516981425
2015-07-01,1074.5831446571
2015-07-02,1090.8793110023998
2015-07-03,1103.1093465800002
2015-07-04,1120.6079202165
2015-07-05,1169.326486908
2015-07-06,1145.5575589
