date,phosphorus
YYYY-MM-DD,ppb
2014-12-07,93.38750659574468
2015-02-07,75.72658234042554
2015-02-19,85.71672808510637
2015-03-16,84.39013255319149
2015-04-19,67.84511595744681
2015-05-02,497.57656
2015-05-11,475.17527
2015-05-24,426.35268
2015-06-02,372.39649999999995
2015-06-18,212.31145
2015-07-02,350.17010999999997
2015-07-15,293.20677
2015-08-02,64.90823531914893
2015-08-09,61.79447659574468
2015-10-04,459.78273
2015-10-13,402.80397
2015-10-26,489.84853999999996
2015-11-09,522.92097
2015-11-23,539.79772
2015-12-09,593.98599
2015-12-30,561.89071
2016-01-08,581.86191
2016-01-18,648.6420800000001
2016-01-28,614.69574
2016-02-12,631.1156900000001
2016-02-21,608.63785
2016-03-09,637.84431
2016-03-24,627.09559
2016-03-31,603.01985
2016-04-08,592.80068
2016-04-21,500.22173000000004
2016-05-02,328.8600290448
2016-05-12,235.54108900620002
2016-05-20,158.1638686914
2016-05-27,208.3225097376
2016-06-04,141.667891504
2016-06-11,127.21048701250001
2016-06-17,134.73143
2016-06-27,120.67142000000001
2016-07-08,175.36148
2016-07-15,173.02525
2016-07-22,188.20704
2016-07-29,218.06280999999998
2016-08-05,202.50974
2016-08-12,231.51697
2016-08-19,245.70664
2016-08-26,248.19500000000002
2016-08-27,435.6727
2016-09-02,217.61827
2016-09-09,362.59709999999995
2016-09-16,462.76429
2016-09-23,438.60648
2016-09-30,488.72124999999994
2016-10-12,481.42383
2016-10-19,462.07534000000004
2016-10-27,464.89192
2016-11-03,496.2277
2016-11-12,491.75534
2016-11-23,411.41714
2016-12-04,370.54896999999994
2016-12-19,387.62506
2017-02-01,512.71212
2017-03-19,337.90979
2017-04-12,280.58115999999995
2017-04-30,265.27422
2017-05-11,220.30354
2017-05-30,129.43785
2017-06-15,113.5865
2017-06-24,165.59491000000003
2017-06-30,137.01831
2017-07-13,142.55698999999998
2017-07-30,180.38053000000002
2017-08-25,246.66239000000002
2017-09-14,281.72672
2017-09-27,299.04736
2017-10-14,319.62844
2017-10-23,330.92407000000003
2017-11-03,346.55169
2017-11-16,369.76855
2017-12-19,501.17510000000004
2018-01-06,516.7604699999999
2018-01-26,548.0846300000001
2018-03-03,1055.12069
2018-03-04,604.43569
2018-03-17,1043.49303
2018-05-07,585.22371
2018-05-25,368.01157
2018-06-08,421.76026
2018-06-15,444.05261
2018-06-25,565.53255
2018-07-11,668.9804300000001
2018-07-15,650.9874100000001
2018-08-10,807.67132
2018-08-17,799.3071500000001
2018-08-24,882.60914
2018-09-07,727.806
2018-09-14,752.15183
2018-09-21,798.12202
2018-10-05,796.5386100000001
2018-10-12,846.05252
2018-10-18,908.77546
2018-10-25,959.5103799999999
2018-11-02,1001.69469
2018-11-10,1065.99456
2018-11-17,1027.52039
2019-03-18,990.3259
2019-03-30,937.14063
2019-04-18,765.5085300000001
2019-05-02,625.26955
2019-05-08,570.18547
2019-05-31,428.68678
2019-06-05,309.66875000000005
2019-06-11,234.37204000000003
2019-06-21,217.02985
2019-06-27,253.88502
2019-07-05,228.92289000000002
2019-07-14,271.26332
2019-07-19,278.79016
2019-07-26,306.57299
2019-08-02,345.6188
2019-08-09,339.10310000000004
2019-08-16,393.5489
2019-08-23,416.27698000000004
2019-08-30,528.57399
2019-09-06,677.4019
2019-09-13,501.6485
2019-09-20,530.52298
2019-09-27,551.5048
2019-10-04,537.1425
2019-10-11,550.4057300000001
2019-10-19,575.75982
2019-10-25,528.116834
2019-11-03,535.3252309999999
2019-11-08,526.6899050000001
2019-11-15,535.7828
2019-11-22,543.368035
2019-12-04,535.565219
2019-12-12,546.816606
2019-12-20,549.432814
2020-01-08,575.0793369999999
2020-01-15,578.928791
2020-01-21,588.7310449999999
2020-01-28,613.2007769999999
2020-02-11,1492.38189
2020-02-20,1519.3860799999998
2020-03-01,1456.5064499999999
2020-03-11,1480.00809
2020-03-17,1516.273
2020-04-01,1134.5416400000001
2020-04-09,1309.59521
2020-04-14,1232.95737
2020-04-24,1051.69352
2020-04-28,1196.39173
2020-05-14,708.31088
2020-05-22,551.08389
2020-05-29,425.28827
2020-06-05,409.66197999999997
2020-06-12,549.6843
2020-06-19,562.74693
2020-06-26,585.9175
2020-07-02,692.91371
2020-07-10,734.75072
2020-07-17,836.31799
2020-07-23,859.10518
2020-07-30,896.20479
2020-08-07,949.48375
2020-08-14,1081.25359
2020-08-20,1107.54728
2020-08-27,1146.28961
2020-09-03,1147.53415
2020-09-11,1237.93688
2020-09-18,1183.55417
2020-09-24,1321.26653
2020-10-01,1325.00137
2020-10-08,1346.78819
2020-10-16,1416.50849
2020-10-23,1473.23757
2020-10-27,1477.75153
2020-11-06,1516.9734700000001
2020-11-13,1575.73175
2020-11-20,1578.06626
2020-12-04,1638.54015
2020-12-31,1724.15876
2021-01-08,1714.58592
2021-01-15,1714.5070899999998
2021-01-21,1822.00658
2021-01-28,1553.54097
2021-02-05,1482.1594
2021-02-11,1495.27522
2021-02-17,1507.4464699999999
2021-02-25,1528.69541
2021-03-03,1523.5873000000001
2021-03-10,1446.7233899999999
2021-03-19,1509.21013
2021-03-25,1910.078
2021-03-30,1747.493
2021-04-07,1492.233
2021-04-14,1423.677
2021-05-17,793.2501
2021-05-28,628.6834
2021-06-04,497.8337
2021-06-11,452.55922
2021-06-18,482.30975
2021-06-24,592.03515
2021-07-02,620.00793
2021-07-09,666.92707
2021-07-15,776.40989
2021-07-23,557.7933
2021-07-30,720.24964
2021-08-06,694.35428
2021-08-13,13.479158899999998
2021-08-19,10.584786699999999
2021-08-27,10.2681767
2021-09-03,14.1585344
2021-10-01,12.806817800000001
2021-10-07,9.170745
2021-10-22,33.8583729
2021-10-27,1.2846540000000002
2021-11-03,4.5832245
2021-11-11,3.1075603000000003
2021-12-20,14.1911384
2022-10-15,3.4475138
