date,calcium
YYYY-MM-DD,ppb
2019-04-27,65045.721569999994
2019-05-10,62679.040089999995
2019-05-19,68195.71208
2019-05-24,64589.48775
2019-06-03,67561.15922
2019-06-18,72280.93669
2019-07-01,70088.056
2019-07-16,71580.26448
2019-08-15,65456.82468
2019-09-05,77194.9003
2019-10-03,79050.44317
2020-05-28,82832.30238000001
2021-05-10,69849.56108
2021-05-24,62200.69668
2021-06-21,64151.6438744
2021-06-30,65824.2344691
2021-07-22,69142.2834431
2021-08-05,69868.28674770001
2021-08-20,76123.7074363
2021-09-30,66751.7951061
