date,titanium
YYYY-MM-DD,ppb
2014-12-12,0.8710600000000001
2015-05-11,3.07261
2015-05-24,2.70885
2015-06-02,3.7996999999999996
2015-06-18,1.93358
2015-07-02,2.5078899999999997
2015-07-15,1.20258
2015-08-02,0.9697500000000001
2015-08-09,0.8880699999999999
2015-10-04,0.31349000000000005
2015-10-13,1.52121
2015-10-26,1.23911
2015-11-09,3.2253700000000003
2016-05-12,0.0
2016-05-20,10.6300321864
2016-05-27,0.9732309830000001
2016-06-04,1.6705016676
2016-06-11,1.7230059779999998
2016-06-17,1.0601099999999999
2016-06-27,0.8458
2016-07-08,1.05171
2016-07-15,0.9958400000000001
2016-07-22,1.02878
2016-07-29,1.13247
2016-08-05,1.06306
2016-08-12,0.9160999999999999
2016-08-19,0.9468
2016-08-26,0.83721
2016-09-02,0.9361700000000001
2016-09-09,1.01247
2016-09-16,0.8060499999999999
2016-09-23,0.96569
2016-09-30,0.7417600000000001
2016-10-12,0.0
2016-10-19,1.21068
2016-10-27,1.02727
2016-11-03,1.20866
2016-11-12,0.92843
2017-05-30,0.71301
2017-06-15,0.6155299999999999
2017-06-30,0.8167599999999999
2017-07-13,0.53076
2017-07-30,0.39737
2017-08-25,0.68825
2017-09-14,1.01129
2017-09-27,0.97926
2017-10-14,1.10899
2017-10-23,0.86414
2017-11-03,0.99372
2018-05-25,0.0
2018-06-08,0.7637099999999999
2018-06-15,0.41918
2018-06-25,0.63996
2018-07-09,0.62181
2018-07-15,0.65766
