date,iron
YYYY-MM-DD,ppb
2015-06-30,5.1481193181
2015-07-07,6.620460484
2015-07-14,6.755248401
2015-07-21,5.323884819
2015-07-28,12.0929592004
2015-08-04,16.6284385904
2015-08-11,11.335429594
2015-08-18,8.701274872
2015-08-26,5.905990574
2016-02-23,11.00828
2016-02-29,0.0
2016-06-29,11.43592
2016-08-03,4.03881
2016-08-10,14.387810000000002
2016-08-17,8.71548
2016-08-23,6.75617
2016-08-23,8.71106
2016-08-23,10.237179999999999
2016-08-24,8.323409999999999
2016-08-31,9.9681
2016-09-07,8.60882
2016-09-14,13.783669999999999
2016-09-21,5.92234
2016-09-28,5.68133
2016-10-11,6.80208
2016-10-19,1458.48522
2016-10-26,7.872310000000001
2016-11-02,11.54488
2016-11-09,11.62032
2016-11-16,10.03992
2016-11-22,14.424589999999998
2016-11-29,5.740220000000001
2016-12-06,12.68863
2016-12-13,16.23548
2016-12-20,5.3937100000000004
2016-12-27,7.2208000000000006
2017-01-03,7.286989999999999
2017-01-10,7.619160000000001
2017-01-17,15.262150000000002
2017-01-24,8.05489
2017-01-31,17.47291
2017-02-07,6.85817
2017-02-14,7.0957099999999995
2017-02-21,7.068630000000001
2017-02-28,13.76961
2017-03-07,9.32276
2017-03-14,7.65765
2017-03-21,7.04914
2017-03-28,7.76094
2017-04-04,8.55723
2017-04-11,6.05498
2017-04-18,180.63406
2017-04-25,11.521729999999998
2017-05-02,12.52993
2017-05-09,103.87665
2017-05-16,9.44101
2017-05-23,7.82336
2017-05-30,13.45828
2017-06-14,11.890289999999998
2017-06-20,8.65752
2017-06-29,8.67398
2017-07-05,7.851789999999999
2017-07-12,11.77705
2017-07-18,13.34192
2017-07-25,45.154849999999996
2017-08-03,12.31292
2017-08-09,7.32004
2017-08-16,7.79906
2017-08-23,17.540480000000002
2017-08-29,11.28094
2017-09-03,8.01061
2017-09-13,9.02883
2017-09-20,10.418890000000001
2017-09-27,17.01762
2017-10-05,7.79458
2017-10-10,5.65966
2017-10-17,4.57334
2017-10-24,7.32818
2017-10-31,5.0174900000000004
2017-11-07,7.48237
2017-11-14,5.45622
2017-11-21,6.847529999999999
2017-11-28,10.84431
2017-12-03,9.41328
2017-12-12,13.13524
2017-12-19,5.81854
2017-12-26,9.31409
2018-01-02,5.41598
2018-01-09,5.25645
2018-01-16,4.90426
2018-01-23,5.78205
2018-01-30,8.920639999999999
2018-02-06,5.5670399999999995
2018-02-13,6.8758799999999995
2018-02-20,5.91932
2018-02-27,6.66558
2018-03-06,6.301360000000001
2018-03-13,56.68218
2018-07-16,4.8656
2018-07-23,3.30821
2018-09-04,4.187
2018-09-10,3.08495
2018-09-17,2.28641
2018-09-24,2.04358
2018-10-01,2.47918
2018-10-29,3.1981100000000002
2019-05-07,4.21314
