date,uranium
YYYY-MM-DD,ppb
2019-10-07,0.10075
2020-05-26,0.02221
2020-10-09,0.03217
2021-05-25,0.03089
2021-07-28,0.05936999999999999
2021-10-05,0.07780999999999999
