date,zinc
YYYY-MM-DD,ppb
2019-10-07,17.14191
2020-05-26,233.34091999999998
2020-10-09,81.52049
2021-05-25,15.949660000000002
2021-07-28,44.7912
2021-07-29,57.28237
2021-10-05,27.360799999999998
