date,phosphorus
YYYY-MM-DD,ppb
2017-03-17,10.435410000000001
2017-03-23,23.77691
2017-05-03,2.9341099999999996
2017-05-06,433.15018000000003
2017-05-11,20.12463
2017-05-15,423.60641
2017-06-22,420.72994
2017-10-29,414.44705
2019-04-06,0.0
2019-04-06,20.278200000000002
2020-07-14,483.36233
2020-07-21,480.65169
2020-07-29,478.67548
2020-08-04,470.34545
2020-08-12,468.56146
2020-08-19,467.8383
2020-08-24,476.1139
2020-09-01,479.89016999999996
2020-09-14,523.03747
2020-09-23,562.24833
2020-09-29,550.3562999999999
2020-10-05,588.92569
2020-10-13,586.7564
2020-10-22,608.3718
2020-10-28,576.31047
2020-11-03,608.45213
2020-11-19,656.28443
2021-04-28,868.37448
2021-05-04,792.8635300000001
2021-05-13,707.60497
2021-05-18,669.00102
2021-05-27,677.69698
2021-06-02,625.84747
2021-06-08,621.14837
2021-06-15,644.5573400000001
2021-06-22,600.85313
2021-07-01,600.27652
2021-07-07,603.7359200000001
2021-07-16,0.0
2021-07-20,1.1320321
2021-07-27,0.6525818999999999
2021-08-04,0.0
2021-08-10,0.0
2021-08-17,0.0
2021-08-24,0.0
2021-08-31,0.0
2021-09-08,21.2531537
2021-09-27,9.0338332
2021-10-04,0.0
2021-10-15,9.6209502
