date,copper
YYYY-MM-DD,ppb
2019-04-27,2.8876800000000005
2019-05-10,3.19644
2019-05-19,5.96973
2019-05-24,5.81023
2019-06-03,4.69865
2019-06-18,4.2424800000000005
2019-07-01,4.73995
2019-07-09,4.84444
2019-07-16,5.728140000000001
2019-08-15,4.705
2019-09-05,9.12948
2019-10-02,3.78832
2020-05-28,4.35313
2020-06-10,4.51561
2020-07-08,4.17595
2020-08-04,4.73561
2020-08-26,5.3533
2020-09-29,7.7777899999999995
2020-11-03,7.14828
2021-05-10,6.40044
2021-05-24,3.80963
2021-06-17,1.5530957
2021-06-30,28.5253092
2021-07-22,1.3443019
2021-08-20,2.6971016
