date,thorium
YYYY-MM-DD,ppb
2014-12-07,0.00143
2015-02-07,0.00184
2015-02-19,0.0033
2015-03-16,0.0017200000000000002
2015-04-19,0.00264
2015-05-02,0.01012
2015-05-11,0.00034999999999999994
2015-05-24,0.08207
2015-06-02,0.0054199999999999995
2015-06-18,0.00783
2015-07-02,0.0002
2015-07-15,0.0026699999999999996
2015-08-02,0.00136
2015-08-09,0.00174
2015-10-04,0.00327
2015-10-13,0.0
2015-11-09,0.00218
2015-11-23,0.00119
2015-12-09,0.01562
2015-12-30,0.00023
2016-01-08,0.0004
2016-01-18,0.00964
2016-01-28,0.00116
2016-02-12,0.00115
2016-02-21,0.00245
2016-03-09,0.0007700000000000001
2016-03-24,0.00488
2016-03-31,0.0008500000000000001
2016-04-08,0.01737
2016-04-21,0.0022
2016-05-02,0.0048141702
2016-05-12,0.0
2016-05-20,0.0
2016-05-27,0.0
2016-06-04,0.0
2016-06-11,0.002531742
2016-06-17,0.0066
2016-06-27,0.0
2016-07-08,0.00398
2016-07-15,0.0
2016-07-22,0.00366
2016-07-29,0.00059
2016-08-05,0.0
2016-08-12,0.0022
2016-08-19,0.00812
2016-08-26,0.0
2016-09-02,0.0
2016-09-09,0.0
2016-09-16,0.0027999999999999995
2016-09-23,0.056369999999999996
2016-09-30,0.00036
2016-10-12,0.0
2016-10-19,0.0
2016-10-27,1.9999999999999998e-05
2016-11-03,0.0
2016-11-12,0.0
2016-11-23,0.0
2016-12-04,0.010579999999999999
2017-02-01,0.00203
2017-03-19,0.0
2017-04-12,0.0
2017-04-30,0.0
2017-05-11,0.0
2017-05-14,0.026879999999999998
2017-05-30,0.04875
2017-06-15,0.0
2017-06-30,0.00584
2017-07-13,0.0
2017-07-30,0.0
2017-08-25,0.0
2017-09-14,0.0020599999999999998
2017-09-27,0.0
2017-10-14,0.00125
2017-10-23,0.0
2017-11-03,0.00637
2017-11-16,0.00029
2018-03-04,0.0
2018-03-17,0.0
2019-03-21,0.012310000000000001
2019-03-30,0.01337
2019-04-18,0.012049999999999998
2019-05-02,0.012669999999999999
2019-05-08,0.01226
2019-05-31,0.0
2019-06-05,0.0
2019-06-11,0.0
2019-06-21,0.0
2019-06-27,0.07776
2019-07-05,0.07518
2019-07-14,0.07421
2019-07-19,0.07683999999999999
2019-07-26,0.07365
2019-08-02,0.07392
2019-08-09,0.0
2019-08-16,0.0
2019-08-23,0.0
2019-08-30,0.0
2019-09-06,0.05099
2019-09-13,0.0
2019-09-20,0.0
2019-09-27,0.0
2019-10-04,0.0
2019-10-11,0.0
2019-10-19,0.0
2020-02-11,0.03116
2020-02-20,0.03205
2020-03-01,0.021580000000000002
2020-03-11,0.02051
2020-03-17,0.02558
2020-04-03,0.02378
2020-04-09,0.02103
2020-04-14,0.01841
2020-04-24,0.02231
2020-04-28,0.0184
2020-05-14,0.02044
2020-05-22,0.019719999999999998
2020-05-29,0.0247
2020-06-05,0.01974
2020-06-12,0.023289999999999998
2020-06-19,0.01883
2020-06-26,0.01934
2020-07-02,0.02134
2020-07-10,0.0194
2020-07-17,0.01937
2020-07-23,0.01992
2020-07-30,0.01923
2020-08-07,0.02066
2020-08-14,0.0175
2020-08-20,0.02361
2020-08-27,0.021220000000000003
2020-09-03,0.019289999999999998
2020-09-11,0.01858
2020-09-18,0.01867
2020-09-24,0.021580000000000002
2020-10-01,0.02051
2020-10-08,0.021879999999999997
2020-10-16,0.018619999999999998
2020-10-23,0.01729
2020-10-27,0.0191
2020-11-06,0.021589999999999998
2020-11-13,0.01847
2020-11-20,0.030469999999999997
2020-12-04,0.016130000000000002
2020-12-31,0.01677
2021-01-08,0.01964
2021-01-15,0.016130000000000002
2021-01-21,0.01677
2021-01-28,0.05896
2021-02-05,0.05707
2021-02-11,0.05706
2021-02-17,0.056569999999999995
2021-02-25,0.057
2021-03-03,0.05711
2021-03-10,0.05325
2021-03-19,0.0532
2021-08-13,0.0014677000000000002
2021-08-19,7.46e-05
2021-08-27,0.0
2021-09-03,0.0
2021-10-01,0.0
2021-10-07,0.0
2021-10-22,0.000265
2021-10-27,0.0054436
2021-11-03,0.0049949
2021-11-11,0.0016805
2021-12-20,0.0012978999999999998
2022-10-15,0.00020869999999999998
