date,manganese
YYYY-MM-DD,ppb
2014-12-07,0.29786
2015-01-24,0.12655
2015-02-07,0.16413
2015-03-16,0.20681000000000002
2015-04-19,0.25373
2015-05-11,0.16174
2015-05-24,0.11526
2015-06-02,0.10735
2015-06-18,0.10070000000000001
2015-07-02,0.08463
2015-07-15,0.09966
2015-08-02,0.9822799999999999
2015-08-09,0.43452999999999997
2015-10-04,0.05044
2015-10-13,0.22398
2015-10-26,0.07731
2015-11-09,0.07505
2015-11-23,0.12437000000000001
2015-12-09,0.05933
2015-12-30,0.040670000000000005
2016-01-08,0.05957
2016-01-18,0.08535
2016-01-28,0.07259
2016-02-12,0.0621
2016-02-21,0.08531
2016-03-09,0.07039000000000001
2016-03-24,0.0452
2016-03-31,0.07183
2016-04-08,1.0060099999999998
2016-04-21,1.48814
2016-05-02,0.8108323065
2016-05-12,0.7944034131000001
2016-05-20,0.8629064647
2016-05-27,0.6412603344
2016-06-04,0.8608784870000001
2016-06-11,0.5110682334
2016-06-17,2.58855
2016-06-27,0.46611
2016-07-08,0.43568999999999997
2016-07-15,0.32204000000000005
2016-07-22,6.6473
2016-07-29,1.24587
2016-08-05,0.65239
2016-08-12,0.66413
2016-08-19,0.40676999999999996
2016-08-26,0.9178200000000001
2016-09-02,0.9368
2016-09-09,0.52205
2016-09-16,0.42449000000000003
2016-09-23,0.6218
2016-09-30,0.64751
2016-10-12,8.39147
2016-10-19,0.28295000000000003
2016-10-27,0.25011
2016-11-03,0.35272
2016-11-12,0.80569
2016-11-23,3.4719499999999996
2016-12-04,0.16494000000000003
2017-04-12,0.19171
2017-04-30,1.45964
2017-05-14,2.9926999999999997
2017-05-30,54.54332
2017-06-15,0.42642
2017-06-30,9.776
2017-07-30,4.49375
2017-08-25,0.39247
2017-09-14,0.47281999999999996
2017-09-27,0.53452
2017-10-14,0.6044200000000001
2017-10-23,0.43317
2017-11-16,0.23095000000000002
2018-03-03,0.0
2018-05-07,0.48281999999999997
2018-05-25,0.32960999999999996
2018-06-08,0.53554
2018-06-15,0.25775
2018-06-25,0.24863
2018-07-09,0.27714
2018-07-15,0.45745
2018-08-10,0.24871000000000001
2018-08-17,0.37664000000000003
2018-08-24,0.36163
2018-09-07,0.29962
2018-09-14,0.32091000000000003
2018-09-21,0.43637000000000004
2018-09-28,0.43906
