date,arsenic
YYYY-MM-DD,ppb
2019-04-27,0.0
2019-05-10,0.03132
2019-05-19,0.08806
2019-05-24,0.09439
2019-06-03,0.08739999999999999
2019-06-18,0.059179999999999996
2019-07-01,0.06801
2019-07-09,0.10762000000000001
2019-07-16,0.08396
2019-08-15,0.04731
2019-09-05,0.036180000000000004
2019-10-02,0.09584999999999999
2020-04-21,0.025
2020-05-13,0.0
2020-05-28,0.050730000000000004
2020-06-10,0.08977
2020-06-24,0.048100000000000004
2020-07-08,0.01667
2020-08-03,0.01199
2020-08-26,0.07572999999999999
2020-09-29,0.00479
2020-11-03,0.0
2021-05-10,0.0
2021-05-24,0.16358999999999999
2021-06-17,0.10559560000000001
2021-06-30,0.1263958
2021-07-22,0.1238294
2021-08-20,0.0677403
2021-09-30,0.0935246
