date,tin
YYYY-MM-DD,ppb
2014-12-12,0.13255
2015-05-11,0.004739999999999999
2015-05-24,0.0
2015-06-02,0.0
2015-06-18,0.0
2015-07-02,0.0
2015-07-15,0.0
2015-08-02,0.0
2015-08-09,0.0
2015-10-04,0.0
2015-10-13,0.0
2015-10-26,0.0
2015-11-09,0.0
2016-05-12,0.0
2016-05-20,0.0019221908000000001
2016-05-27,0.1524383672
2016-06-04,0.0
2016-06-11,0.0
2016-06-17,0.03437
2016-06-27,0.03022
2016-07-08,0.019
2016-07-15,0.0132
2016-07-22,0.00173
2016-07-29,0.0
2016-08-05,0.0
2016-08-12,0.03304
2016-08-19,0.007330000000000001
2016-08-26,0.0
2016-09-02,0.00594
2016-09-09,0.00749
2016-09-16,0.00211
2016-09-23,0.0
2016-09-30,0.0
2016-10-12,0.052059999999999995
2016-10-19,0.0598
2016-10-27,0.0
2016-11-03,0.0
2016-11-12,0.0
2017-05-30,0.0
2017-06-15,0.0
2017-06-30,0.0
2017-07-13,0.0
2017-07-30,0.0
2017-08-25,0.0
2017-09-14,0.0
2017-09-27,0.0
2017-10-14,0.0
2017-10-23,0.0
2017-11-03,0.0
2018-05-25,0.029589999999999998
2018-06-08,0.0
2018-06-15,0.0
2018-06-25,0.0
2018-07-09,0.0
2018-07-15,0.00618
