date,magnesium
YYYY-MM-DD,ppb
2020-05-21,1312.84637
2020-05-27,1326.52387
2020-06-03,1343.4589600000002
2020-06-09,1579.22307
2020-06-17,2292.48947
2020-06-25,2299.7819799999997
2020-06-30,2430.69028
2020-07-07,2476.47217
2020-07-14,2763.83325
2020-07-22,2737.82194
2020-07-27,2754.2022500000003
2020-08-02,2840.0468
2020-08-10,2893.30916
2020-08-18,3088.17961
2020-08-24,3230.70007
2020-08-31,2982.06268
2020-09-15,3026.08633
2020-09-22,3245.48157
2020-09-28,3349.21281
2020-10-08,3291.72666
2020-10-14,3319.70393
2020-10-22,3356.4434
2020-11-11,3101.1494599999996
2020-12-08,2712.66561
2020-12-29,2743.9108499999998
2021-01-29,2523.52396
2021-02-09,2421.10135
2021-03-10,2471.13488
2021-04-16,1962.56615
2021-04-29,1813.6977
2021-05-12,1351.3975500000001
2021-05-20,1316.21038
2021-05-26,1382.22455
2021-06-01,1526.66575
2021-06-08,1600.58041
2021-06-14,1890.0825
2021-06-21,2223.48945
2021-06-29,2442.89664
2021-07-08,2613.00542
2021-07-21,2880.38652
2021-08-05,3024.7889400000004
2021-08-11,3042.37886
2021-08-18,3182.55094
2021-08-26,3114.00958
2021-08-30,3126.93706
2021-09-12,3186.74573
2021-10-06,2994.33246
2021-10-13,2794.3202659999997
2021-11-05,2569.608781
2021-11-12,2626.9898439999997
2021-12-16,14474.017469999999
