date,zinc
YYYY-MM-DD,ppb
2019-04-27,29.44478
2019-05-11,51.61597999999999
2019-05-19,22.97171
2019-05-24,0.0
2019-06-03,25.45236
2019-06-18,29.19499
2019-07-01,28.277549999999998
2019-07-09,40.36016
2019-07-16,29.964209999999998
2019-08-13,29.334609999999998
2019-09-05,65.1426
2019-10-02,23.00013
2020-05-13,22.5638
2020-05-28,25.93446
2020-06-10,19.57722
2020-06-24,23.686349999999997
2020-07-08,127.78854000000001
2020-08-03,22.089579999999998
2020-08-26,19.818089999999998
2020-09-29,297.20706
2020-11-03,69.63001
2021-05-10,429.06681
2021-05-24,24.439190000000004
2021-06-17,22.818088099999997
2021-06-30,24.272165100000002
2021-07-22,49.3267205
2021-08-20,284.6403424
2021-09-30,48.1611896
