Location ID,Depth Name,Depth_cm bgs,Other Name,Date,Time,water table depth_cm bgs,pH,EC_uS/cm,ORP_mV,DO_uM,Fe(II)_uM,DOC_mM,DIC_mM,NH4_mM,Cl_mM,SO4_mM,NO3_mM,Li_M,sd_M,Be_M,sd_M,B_M,sd_M,Na_M,sd_M,Mg_M,sd_M,Al_M,sd_M,Si_M,sd_M,K_M,sd_M,V_M,sd_M,Cr_M,sd_M,Mn_M,sd_M,Ca_M,sd_M,Fe_M,sd_M,Se_M,sd_M,Ti_M,sd_M,Ni_M,sd_M,Co_M,sd_M,Cu_M,sd_M,Zn_M,sd_M,Ge_M,sd_M,Rb_M,sd_M,Sr_M,sd_M,Zr_M,sd_M,Mo_M,sd_M,Ag_M,sd_M,Cd_M,sd_M,Sn_M,sd_M,Sb_M,sd_M,Cs_M,sd_M,Ba_M,sd_M,Eu_M,sd_M,Pb_M,sd_M,Th_M,sd_M,U_M,sd_M,P_M,sd_M,As_M,sd_M
ER-MCP1,,,MCP-1,5/27/2018,11:10,,7.44,385,-56,4.88,71.81,0.264,3.98,0.0026,0.2403,0.3305,BDL,4.49E-07,2.40E-08,BDL,BDL,4.22E-07,1.51E-08,1.44E-04,2.59E-06,3.78E-04,5.16E-06,1.40E-06,6.52E-08,1.63E-04,2.61E-06,1.27E-05,2.18E-07,BDL,BDL,6.23E-09,1.01E-09,2.04E-05,2.03E-07,1.56E-03,1.21E-05,7.21E-05,5.85E-07,BDL,BDL,BDL,BDL,2.39E-08,2.61E-09,1.30E-09,2.08E-10,4.79E-09,1.26E-09,7.32E-07,1.13E-08,BDL,BDL,2.19E-09,1.57E-10,2.34E-06,1.42E-08,BDL,BDL,1.63E-08,9.39E-10,7.58E-09,7.87E-10,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,1.47E-06,2.39E-08,2.79E-10,2.00E-11,BDL,BDL,BDL,BDL,2.81E-10,3.85E-11,1.13E-05,1.35E-06,3.12E-08,3.35E-09
ER-MCP1,,,MCP-1,5/31/2018,11:00,,7.87,440,60,,,0.257,4.065,0.0024,0.2383,0.3329,BDL,4.11E-07,2.22E-08,BDL,BDL,4.17E-07,2.69E-08,1.23E-04,1.01E-06,3.40E-04,3.20E-06,9.96E-07,6.41E-08,1.67E-04,9.91E-07,1.21E-05,9.82E-08,BDL,BDL,5.94E-09,4.81E-10,1.81E-05,1.06E-07,1.38E-03,7.28E-06,4.70E-05,3.27E-07,BDL,BDL,BDL,BDL,2.33E-08,1.65E-09,1.05E-09,2.03E-10,5.31E-09,7.62E-10,7.22E-07,1.35E-08,BDL,BDL,2.04E-09,1.74E-10,2.06E-06,1.22E-08,BDL,BDL,1.62E-08,5.97E-10,3.02E-09,5.10E-10,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,1.30E-06,7.36E-09,2.67E-10,5.28E-11,BDL,BDL,BDL,BDL,2.41E-10,5.62E-11,1.19E-05,1.56E-06,2.97E-08,2.57E-09
ER-MCP1,,,MCP-1,6/5/2018,10:40,19,7.48,386,16,,,0.268,4.05,0.0028,0.2366,0.3390,BDL,4.25E-07,3.84E-08,BDL,BDL,3.94E-07,3.58E-08,1.28E-04,2.77E-06,3.69E-04,8.05E-06,BDL,BDL,1.66E-04,1.96E-06,1.28E-05,1.51E-07,BDL,BDL,BDL,BDL,2.00E-05,2.85E-07,1.52E-03,1.04E-05,6.62E-05,7.32E-07,BDL,BDL,BDL,BDL,2.44E-08,2.30E-09,1.04E-09,1.96E-10,9.47E-09,6.18E-10,5.60E-07,9.00E-09,BDL,BDL,2.13E-09,1.49E-10,2.25E-06,1.90E-08,BDL,BDL,1.55E-08,4.30E-10,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,1.39E-06,9.74E-09,2.59E-10,2.51E-11,BDL,BDL,BDL,BDL,2.51E-10,5.32E-11,1.19E-05,1.43E-06,2.88E-08,2.04E-09
ER-MCP1,,,MCP-1,6/7/2018,9:35,19,7.61,438,-1,,,0.252,4.117,0.0028,0.2321,0.3375,BDL,4.35E-07,6.21E-09,BDL,BDL,3.88E-07,9.82E-09,1.28E-04,1.12E-06,3.69E-04,3.99E-06,BDL,BDL,1.70E-04,1.99E-06,1.27E-05,1.47E-07,BDL,BDL,2.36E-09,2.45E-09,1.93E-05,2.05E-07,1.49E-03,4.91E-06,6.45E-05,3.50E-07,BDL,BDL,BDL,BDL,2.27E-08,2.11E-09,1.10E-09,1.78E-10,1.19E-08,7.98E-10,5.94E-07,9.12E-09,BDL,BDL,2.22E-09,1.04E-10,2.19E-06,8.74E-09,BDL,BDL,1.60E-08,5.43E-10,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,1.35E-06,2.02E-08,2.75E-10,5.05E-11,BDL,BDL,BDL,BDL,2.45E-10,5.36E-11,1.20E-05,1.47E-06,2.82E-08,1.26E-09
ER-MCP1,,,MCP-1,6/9/2018,10:20,22,7.43,396,16,,,0.255,,0.0026,,,,4.44E-07,2.47E-08,BDL,BDL,3.79E-07,8.20E-09,1.30E-04,6.54E-07,3.77E-04,2.47E-06,6.22E-07,7.15E-08,1.68E-04,1.78E-06,1.30E-05,2.10E-07,BDL,BDL,BDL,BDL,1.99E-05,2.03E-07,1.53E-03,9.96E-06,6.91E-05,3.71E-07,BDL,BDL,BDL,BDL,2.51E-08,8.67E-10,1.22E-09,2.16E-10,1.20E-08,1.04E-09,6.92E-07,1.23E-08,BDL,BDL,2.89E-09,1.90E-10,2.25E-06,1.90E-08,BDL,BDL,1.50E-08,6.73E-10,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,1.42E-06,1.97E-08,3.02E-10,6.82E-11,BDL,BDL,BDL,BDL,2.60E-10,2.14E-11,1.15E-05,1.50E-06,3.02E-08,2.73E-09
ER-MCP1,,,MCP-1,6/12/2018,9:50,25,7.48,710,9,,,0.259,3.878,0.0010,0.2268,0.3298,BDL,BDL,BDL,BDL,BDL,5.08E-07,1.60E-08,1.25E-04,2.44E-06,3.99E-04,1.77E-05,BDL,BDL,1.59E-04,2.13E-06,7.46E-06,2.41E-07,1.81E-09,3.27E-10,BDL,BDL,2.18E-05,1.92E-07,1.63E-03,7.67E-06,7.93E-05,4.96E-07,BDL,BDL,BDL,BDL,1.56E-08,3.21E-09,BDL,BDL,5.40E-09,6.25E-10,3.88E-07,6.76E-09,BDL,BDL,2.44E-09,1.98E-10,2.46E-06,1.42E-08,BDL,BDL,1.74E-08,3.04E-10,7.62E-09,4.02E-10,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,1.52E-06,9.69E-09,2.93E-10,6.67E-11,BDL,BDL,5.25E-10,5.68E-11,3.14E-10,3.65E-11,1.45E-05,2.15E-06,2.78E-08,2.68E-09
ER-MCP1,,,MCP-1,6/14/2018,8:45,28,7.73,376,101,,,0.295,3.646,0.0016,0.2374,0.3182,BDL,BDL,BDL,BDL,BDL,2.36E-07,1.16E-08,1.24E-04,1.49E-06,3.70E-04,1.48E-05,BDL,BDL,1.58E-04,3.10E-06,1.37E-05,3.67E-07,BDL,BDL,BDL,BDL,2.16E-05,2.22E-07,1.50E-03,8.86E-06,7.44E-05,4.43E-07,BDL,BDL,BDL,BDL,2.93E-08,1.61E-09,1.39E-09,2.72E-10,5.03E-09,5.74E-10,4.51E-07,8.01E-09,BDL,BDL,2.43E-09,1.42E-10,2.34E-06,1.38E-08,BDL,BDL,1.57E-08,4.60E-10,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,1.48E-06,2.46E-08,3.11E-10,6.29E-11,BDL,BDL,BDL,BDL,2.79E-10,2.97E-11,1.82E-05,1.86E-06,3.65E-08,2.51E-09
ER-MCP1,,,MCP-1,6/19/2018,10:30,30,,440,-68,,,0.278,3.693,0.0017,0.2250,0.3278,BDL,BDL,BDL,BDL,BDL,1.98E-07,1.19E-08,1.20E-04,8.00E-07,3.67E-04,1.07E-05,BDL,BDL,1.60E-04,3.10E-06,1.25E-05,3.48E-07,BDL,BDL,BDL,BDL,2.17E-05,1.92E-07,1.50E-03,7.49E-06,7.17E-05,3.36E-07,BDL,BDL,BDL,BDL,2.83E-08,1.17E-09,1.15E-09,1.59E-10,BDL,BDL,3.58E-07,1.06E-08,BDL,BDL,2.19E-09,2.46E-10,2.33E-06,1.69E-08,BDL,BDL,1.61E-08,8.69E-10,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,1.49E-06,9.54E-09,3.45E-10,6.23E-11,BDL,BDL,BDL,BDL,2.77E-10,4.63E-11,1.94E-05,2.00E-06,3.56E-08,1.85E-09
ER-MCP1,,,MCP-1,6/21/2018,10:20,,,515,-89,,,0.362,3.576,0.0023,0.2273,0.3261,BDL,BDL,BDL,BDL,BDL,2.13E-07,1.97E-08,1.21E-04,9.20E-07,3.57E-04,8.53E-06,BDL,BDL,1.53E-04,2.73E-06,1.45E-05,3.40E-07,BDL,BDL,BDL,BDL,2.09E-05,2.12E-07,1.45E-03,3.32E-06,7.04E-05,2.07E-07,BDL,BDL,BDL,BDL,2.94E-08,3.09E-09,1.15E-09,7.84E-11,8.22E-09,7.86E-10,4.04E-07,8.30E-09,BDL,BDL,2.78E-09,1.21E-10,2.26E-06,1.64E-08,BDL,BDL,1.62E-08,6.00E-10,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,1.46E-06,1.16E-08,3.05E-10,3.53E-11,4.34E-10,3.69E-11,BDL,BDL,2.89E-10,7.83E-11,2.03E-05,1.76E-06,3.91E-08,1.53E-09
ER-MCP1,,,MCP-1,6/27/2018,9:50,,7.5,369,-43,,,0.257,3.75,0.0032,0.2243,0.3194,BDL,4.01E-07,4.15E-08,BDL,BDL,2.13E-07,1.89E-08,1.15E-04,2.43E-06,3.62E-04,1.82E-06,BDL,BDL,1.61E-04,1.28E-06,1.90E-05,2.45E-07,BDL,BDL,BDL,BDL,2.03E-05,2.06E-07,1.54E-03,2.74E-06,3.92E-05,1.13E-07,BDL,BDL,BDL,BDL,2.11E-08,2.70E-09,BDL,BDL,3.57E-09,7.87E-10,4.30E-07,1.26E-08,BDL,BDL,2.67E-09,2.60E-10,2.20E-06,1.06E-08,BDL,BDL,1.66E-08,1.04E-09,7.21E-09,4.81E-10,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,1.34E-06,1.40E-08,2.12E-10,5.48E-11,BDL,BDL,BDL,BDL,2.69E-10,3.34E-11,1.63E-05,1.19E-06,2.32E-08,1.54E-09
